benchmark,sample_id,actual_label,predicted_label,prediction_probability,p_hs,p_nhs,prediction_correct,case_type,target_class,target_layer,original_path,heatmap_path,overlay_path,comparison_path,total_activation,mean_activation,peak_activation,top10_threshold,top10_activation_fraction,centroid_x,centroid_y,spatial_spread,activated_area_fraction_gt05
iccad1,HS73,HS,HS,0.7887,0.7887,0.2113,True,TP,HS,conv2d_5,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS73_original.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS73_heatmap.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS73_overlay.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS73_comparison.png,10210.0273,0.2035,1.0,0.6192,0.3625,112.03,107.12,100.81,0.1506
iccad1,HS53,HS,HS,0.7688,0.7688,0.2312,True,TP,HS,conv2d_5,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS53_original.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS53_heatmap.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS53_overlay.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS53_comparison.png,10751.6748,0.2143,1.0,0.6694,0.3655,108.84,108.92,101.95,0.1623
iccad1,HS68,HS,HS,0.7501,0.7501,0.2499,True,TP,HS,conv2d_5,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS68_original.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS68_heatmap.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS68_overlay.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS68_comparison.png,8633.5518,0.1721,1.0,0.5239,0.4113,104.85,88.07,94.43,0.1073
iccad1,HS184,HS,HS,0.7434,0.7434,0.2566,True,TP,HS,conv2d_5,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS184_original.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS184_heatmap.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS184_overlay.png,results/gradcam/iccad1/iccad1_TP_HS_predHS_sampleHS184_comparison.png,11909.5938,0.2374,1.0,0.5986,0.3112,118.55,100.41,87.15,0.1647
iccad1,NNHS329_8,NHS,NHS,0.896,0.104,0.896,True,TN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS329_8_original.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS329_8_heatmap.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS329_8_overlay.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS329_8_comparison.png,5029.9941,0.1002,1.0,0.3117,0.6059,124.2,140.63,90.95,0.0642
iccad1,NNHS321_9,NHS,NHS,0.9007,0.0993,0.9007,True,TN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS321_9_original.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS321_9_heatmap.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS321_9_overlay.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS321_9_comparison.png,9651.9961,0.1924,1.0,0.6468,0.4115,122.31,132.66,84.93,0.1634
iccad1,NNHS413_7,NHS,NHS,0.8921,0.1079,0.8921,True,TN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS413_7_original.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS413_7_heatmap.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS413_7_overlay.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS413_7_comparison.png,9710.4873,0.1935,1.0,0.6268,0.3907,112.82,133.05,85.87,0.1554
iccad1,NNHS491_8,NHS,NHS,0.8821,0.1179,0.8821,True,TN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS491_8_original.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS491_8_heatmap.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS491_8_overlay.png,results/gradcam/iccad1/iccad1_TN_NHS_predNHS_sampleNNHS491_8_comparison.png,9034.4922,0.1801,1.0,0.5725,0.3829,124.61,121.06,87.62,0.1366
iccad1,NHS125_1,NHS,HS,0.7292,0.7292,0.2708,False,FP,HS,conv2d_5,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS125_1_original.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS125_1_heatmap.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS125_1_overlay.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS125_1_comparison.png,13683.9434,0.2727,1.0,0.712,0.3096,118.56,122.97,90.96,0.234
iccad1,NHS6_7,NHS,HS,0.7275,0.7275,0.2725,False,FP,HS,conv2d_5,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS6_7_original.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS6_7_heatmap.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS6_7_overlay.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS6_7_comparison.png,11413.6094,0.2275,1.0,0.7098,0.3826,106.45,124.92,83.64,0.1551
iccad1,NHS114_9,NHS,HS,0.7674,0.7674,0.2326,False,FP,HS,conv2d_5,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS114_9_original.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS114_9_heatmap.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS114_9_overlay.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS114_9_comparison.png,7802.8018,0.1555,1.0,0.5425,0.4811,105.73,139.53,92.67,0.1134
iccad1,NHS115_6,NHS,HS,0.7346,0.7346,0.2654,False,FP,HS,conv2d_5,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS115_6_original.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS115_6_heatmap.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS115_6_overlay.png,results/gradcam/iccad1/iccad1_FP_NHS_predHS_sampleNHS115_6_comparison.png,9474.4092,0.1888,1.0,0.664,0.414,108.93,63.94,86.74,0.1746
iccad1,HS176,HS,NHS,0.5611,0.4389,0.5611,False,FN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS176_original.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS176_heatmap.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS176_overlay.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS176_comparison.png,4510.8022,0.0899,1.0,0.2837,0.536,146.1,107.41,80.81,0.0367
iccad1,HS26,HS,NHS,0.5751,0.4249,0.5751,False,FN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS26_original.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS26_heatmap.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS26_overlay.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS26_comparison.png,5841.6934,0.1164,1.0,0.4421,0.5765,108.67,172.02,80.82,0.0851
iccad1,HS203,HS,NHS,0.492,0.508,0.492,False,FN,NHS,conv2d_5,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS203_original.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS203_heatmap.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS203_overlay.png,results/gradcam/iccad1/iccad1_FN_HS_predNHS_sampleHS203_comparison.png,2935.2231,0.0585,1.0,0.2047,0.7049,76.48,133.65,80.83,0.0275
iccad2,HSCAD2331,HS,HS,0.9944,0.9944,0.0056,True,TP,HS,conv2d_5,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2331_original.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2331_heatmap.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2331_overlay.png,results/gradcam/iccad2/iccad2_TP_HS_predHS_sampleHSCAD2331_comparison.png,25627.4707,0.5108,1.0,0.7917,0.1648,116.54,111.13,85.99,0.4048
