benchmark,sample_id,case_type,actual_label,predicted_label,method,level_pct,is_degenerate_map,mask_area_px,target_area_px,control_area_px,control_n_draws,n_components,largest_component_area_frac,n_junction_seeds,n_corner_seeds,geometry_fraction,narrow_gap_fraction,thin_line_fraction,boundary_proximity_mean,junction_recall,junction_density_per_kpx,corner_recall,corner_density_per_kpx,local_density_mean,control_geometry_fraction_mean,control_geometry_fraction_std,control_geometry_fraction_min,control_geometry_fraction_max,control_narrow_gap_fraction_mean,control_narrow_gap_fraction_std,control_narrow_gap_fraction_min,control_narrow_gap_fraction_max,control_thin_line_fraction_mean,control_thin_line_fraction_std,control_thin_line_fraction_min,control_thin_line_fraction_max,control_boundary_proximity_mean_mean,control_boundary_proximity_mean_std,control_boundary_proximity_mean_min,control_boundary_proximity_mean_max,control_junction_recall_mean,control_junction_recall_std,control_junction_recall_min,control_junction_recall_max,control_junction_density_per_kpx_mean,control_junction_density_per_kpx_std,control_junction_density_per_kpx_min,control_junction_density_per_kpx_max,control_corner_recall_mean,control_corner_recall_std,control_corner_recall_min,control_corner_recall_max,control_corner_density_per_kpx_mean,control_corner_density_per_kpx_std,control_corner_density_per_kpx_min,control_corner_density_per_kpx_max,control_local_density_mean_mean,control_local_density_mean_std,control_local_density_mean_min,control_local_density_mean_max
iccad5,HSCAD537,TP,HS,HS,gradcam,10,False,5018,5018,5120,30,7,0.0418,4,47,0.457,0.3629,0.1092,1.747,0.0,0.0,0.3584,43.643,0.447,0.216,0.086,0.0252,0.3883,0.1601,0.0576,0.035,0.2771,0.0521,0.0206,0.0074,0.0941,9.9601,4.0376,3.278,20.305,0.0542,0.1667,0.0,0.625,0.2539,0.7816,0.0,2.93,0.1005,0.0507,0.0,0.2062,11.9987,6.0518,0.0,24.609,0.2146,0.0773,0.0422,0.3738
iccad5,HSCAD537,TP,HS,HS,gradcam_plus,10,False,5018,5018,5120,30,7,0.0418,4,47,0.5317,0.3378,0.1148,1.755,0.8333,3.986,0.3764,45.835,0.4356,0.216,0.086,0.0252,0.3883,0.1601,0.0576,0.035,0.2771,0.0521,0.0206,0.0074,0.0941,9.9601,4.0376,3.278,20.305,0.0542,0.1667,0.0,0.625,0.2539,0.7816,0.0,2.93,0.1005,0.0507,0.0,0.2062,11.9987,6.0518,0.0,24.609,0.2146,0.0773,0.0422,0.3738
iccad5,HSCAD537,TP,HS,HS,layercam,10,False,5018,5018,5120,30,7,0.0418,4,47,0.4928,0.3031,0.106,2.265,0.125,0.598,0.2291,27.9,0.4432,0.216,0.086,0.0252,0.3883,0.1601,0.0576,0.035,0.2771,0.0521,0.0206,0.0074,0.0941,9.9601,4.0376,3.278,20.305,0.0542,0.1667,0.0,0.625,0.2539,0.7816,0.0,2.93,0.1005,0.0507,0.0,0.2062,11.9987,6.0518,0.0,24.609,0.2146,0.0773,0.0422,0.3738
iccad5,HSCAD537,TP,HS,HS,occlusion,10,False,5018,5018,5120,30,7,0.0418,4,47,0.4454,0.3151,0.1092,2.248,0.0,0.0,0.2831,34.476,0.4225,0.216,0.086,0.0252,0.3883,0.1601,0.0576,0.035,0.2771,0.0521,0.0206,0.0074,0.0941,9.9601,4.0376,3.278,20.305,0.0542,0.1667,0.0,0.625,0.2539,0.7816,0.0,2.93,0.1005,0.0507,0.0,0.2062,11.9987,6.0518,0.0,24.609,0.2146,0.0773,0.0422,0.3738
iccad5,HSCAD537,TP,HS,HS,gradcam,20,False,10035,10035,10240,30,7,0.0418,4,47,0.4681,0.3336,0.1044,1.93,0.75,1.794,0.5286,32.187,0.4247,0.2055,0.0463,0.1019,0.3034,0.1491,0.0317,0.079,0.2305,0.0494,0.0104,0.0268,0.0751,11.1505,2.0366,7.821,15.126,0.1833,0.2366,0.0,0.625,0.4297,0.5546,0.0,1.465,0.187,0.0601,0.0704,0.293,11.1588,3.5844,4.199,17.48,0.201,0.045,0.0989,0.3117
iccad5,HSCAD537,TP,HS,HS,gradcam_plus,20,False,10035,10035,10240,30,7,0.0418,4,47,0.4479,0.2744,0.1038,2.968,1.0,2.392,0.6792,41.355,0.3674,0.2055,0.0463,0.1019,0.3034,0.1491,0.0317,0.079,0.2305,0.0494,0.0104,0.0268,0.0751,11.1505,2.0366,7.821,15.126,0.1833,0.2366,0.0,0.625,0.4297,0.5546,0.0,1.465,0.187,0.0601,0.0704,0.293,11.1588,3.5844,4.199,17.48,0.201,0.045,0.0989,0.3117
iccad5,HSCAD537,TP,HS,HS,layercam,20,False,10035,10035,10240,30,7,0.0418,4,47,0.4893,0.2929,0.1046,2.374,0.8333,1.993,0.4697,28.6,0.4148,0.2055,0.0463,0.1019,0.3034,0.1491,0.0317,0.079,0.2305,0.0494,0.0104,0.0268,0.0751,11.1505,2.0366,7.821,15.126,0.1833,0.2366,0.0,0.625,0.4297,0.5546,0.0,1.465,0.187,0.0601,0.0704,0.293,11.1588,3.5844,4.199,17.48,0.201,0.045,0.0989,0.3117
iccad5,HSCAD537,TP,HS,HS,occlusion,20,False,10035,10035,10240,30,7,0.0418,4,47,0.4094,0.3106,0.1052,2.551,0.0,0.0,0.4975,30.294,0.4028,0.2055,0.0463,0.1019,0.3034,0.1491,0.0317,0.079,0.2305,0.0494,0.0104,0.0268,0.0751,11.1505,2.0366,7.821,15.126,0.1833,0.2366,0.0,0.625,0.4297,0.5546,0.0,1.465,0.187,0.0601,0.0704,0.293,11.1588,3.5844,4.199,17.48,0.201,0.045,0.0989,0.3117
iccad5,HSCAD537,TP,HS,HS,gradcam,30,False,15053,15053,15360,30,7,0.0418,4,47,0.4361,0.3223,0.104,2.159,1.0,1.594,0.7267,29.496,0.4146,0.229,0.0364,0.1615,0.3142,0.1686,0.0263,0.1243,0.2329,0.0555,0.0086,0.0392,0.0751,9.4839,1.986,4.949,12.574,0.2375,0.3085,0.0,1.0,0.3711,0.482,0.0,1.562,0.3195,0.0838,0.1424,0.5188,12.7104,3.3314,5.664,20.638,0.2264,0.0351,0.1625,0.3118
iccad5,HSCAD537,TP,HS,HS,gradcam_plus,30,False,15053,15053,15360,30,7,0.0418,4,47,0.4029,0.2956,0.0949,2.986,1.0,1.594,0.8871,36.006,0.3653,0.229,0.0364,0.1615,0.3142,0.1686,0.0263,0.1243,0.2329,0.0555,0.0086,0.0392,0.0751,9.4839,1.986,4.949,12.574,0.2375,0.3085,0.0,1.0,0.3711,0.482,0.0,1.562,0.3195,0.0838,0.1424,0.5188,12.7104,3.3314,5.664,20.638,0.2264,0.0351,0.1625,0.3118
