case_type,benchmark,method,level_pct,n_samples,n_degenerate_excluded,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
FN,iccad5,gradcam,10,2,0,0.1883,0.1387,0.1387,0.1913,-0.0029,0.1368,0.02,0.02,0.1566,-0.0198,0.0459,0.032,0.032,0.046,-0.0001,13.251,7.885,7.885,12.6162,0.6348,0.0,0.0,0.0,0.0333,-0.0333,0.0,0.0,0.0,0.1368,-0.1368,0.072,0.0049,0.0049,0.0959,-0.0239,7.2735,2.0925,2.0925,9.7297,-2.4563,0.191,0.1393,0.1393,0.191,-0.0001
FN,iccad5,gradcam,20,2,0,0.2125,0.1435,0.1435,0.1936,0.0189,0.1498,0.012,0.012,0.1605,-0.0107,0.0513,0.0331,0.0331,0.0469,0.0045,11.909,7.03,7.03,12.4916,-0.5826,0.0,0.0,0.0,0.1167,-0.1167,0.0,0.0,0.0,0.2393,-0.2393,0.1864,0.0296,0.0296,0.2034,-0.017,9.1185,1.8435,1.8435,10.3093,-1.1908,0.2066,0.1434,0.1434,0.1915,0.0151
FN,iccad5,gradcam,30,2,0,0.1995,0.1342,0.1342,0.1977,0.0018,0.1502,0.0165,0.0165,0.1608,-0.0106,0.0496,0.0313,0.0314,0.0483,0.0014,12.7045,7.8785,7.8785,12.2889,0.4156,0.0953,0.0953,0.0953,0.0833,0.0119,0.133,0.133,0.133,0.1139,0.0191,0.4517,0.0554,0.0554,0.3078,0.1439,16.276,7.374,7.374,10.498,5.778,0.1945,0.1337,0.1337,0.1997,-0.0052
FN,iccad5,gradcam_plus,10,2,0,0.3766,0.1255,0.1255,0.1913,0.1854,0.2469,0.1022,0.1022,0.1566,0.0903,0.0792,0.0081,0.0081,0.046,0.0332,4.6135,1.2325,1.2325,12.6162,-8.0027,0.5,0.5,0.5,0.0333,0.4667,2.0925,2.0925,2.0925,0.1368,1.9557,0.4041,0.2232,0.2231,0.0959,0.3081,33.7785,8.4695,8.4695,9.7297,24.0487,0.2289,0.0132,0.0132,0.191,0.0378
FN,iccad5,gradcam_plus,20,2,0,0.3322,0.0864,0.0864,0.1936,0.1386,0.2681,0.1531,0.1531,0.1605,0.1076,0.0715,0.0166,0.0166,0.0469,0.0246,4.857,1.417,1.417,12.4916,-7.6346,0.5,0.5,0.5,0.1167,0.3833,1.0465,1.0465,1.0465,0.2393,0.8072,0.6231,0.2969,0.297,0.2034,0.4198,26.906,4.086,4.086,10.3093,16.5968,0.2353,0.0041,0.0041,0.1915,0.0438
FN,iccad5,gradcam_plus,30,2,0,0.2874,0.0215,0.0214,0.1977,0.0898,0.2629,0.1533,0.1532,0.1608,0.1021,0.0658,0.0093,0.0093,0.0483,0.0175,5.3535,0.6945,0.6945,12.2889,-6.9354,0.5,0.5,0.5,0.0833,0.4167,0.6975,0.6975,0.6975,0.1139,0.5836,0.7806,0.2164,0.2164,0.3078,0.4728,24.3475,1.9595,1.9595,10.498,13.8495,0.2303,0.0128,0.0128,0.1997,0.0306
FN,iccad5,layercam,10,2,0,0.3325,0.0176,0.0176,0.1913,0.1413,0.2517,0.1034,0.1034,0.1566,0.0951,0.0693,0.0062,0.0062,0.046,0.0232,4.6425,0.8725,0.8725,12.6162,-7.9737,0.5,0.5,0.5,0.0333,0.4667,2.0925,2.0925,2.0925,0.1368,1.9557,0.3257,0.1063,0.1063,0.0959,0.2298,29.8925,0.7975,0.7975,9.7297,20.1628,0.2481,0.0559,0.0559,0.191,0.0571
FN,iccad5,layercam,20,2,0,0.3207,0.0635,0.0635,0.1936,0.1271,0.2399,0.0939,0.0939,0.1605,0.0794,0.0704,0.0097,0.0097,0.0469,0.0236,5.32,1.502,1.502,12.4916,-7.1716,0.5,0.5,0.5,0.1167,0.3833,1.0465,1.0465,1.0465,0.2393,0.8072,0.6022,0.1877,0.1877,0.2034,0.3988,27.803,1.196,1.196,10.3093,17.4937,0.2471,0.0726,0.0726,0.1915,0.0556
FN,iccad5,layercam,30,2,0,0.3014,0.0841,0.0842,0.1977,0.1038,0.2312,0.0802,0.0803,0.1608,0.0704,0.0684,0.0142,0.0143,0.0483,0.0201,5.9615,2.0405,2.0405,12.2889,-6.3274,0.5,0.5,0.5,0.0833,0.4167,0.6975,0.6975,0.6975,0.1139,0.5836,0.7801,0.1519,0.1519,0.3078,0.4723,25.111,4.185,4.185,10.498,14.613,0.2427,0.0789,0.0789,0.1997,0.043
FN,iccad5,occlusion,10,2,0,0.3051,0.0616,0.0616,0.1913,0.1139,0.2654,0.0608,0.0607,0.1566,0.1089,0.0699,0.0097,0.0097,0.046,0.0239,5.3045,1.7485,1.7485,12.6162,-7.3117,0.0,0.0,0.0,0.0333,-0.0333,0.0,0.0,0.0,0.1368,-0.1368,0.0674,0.0408,0.0408,0.0959,-0.0285,8.4695,6.6755,6.6755,9.7297,-1.2603,0.2882,0.0995,0.0995,0.191,0.0971
