benchmark,sample_id,case_type,actual_label,predicted_label,is_correct,p_hs,p_nhs,sample_dir,occlusion_sample_dir,window_size,stride,baseline_value,num_windows,runtime_sec,orig_target_score,max_occlusion_importance,min_occlusion_importance,mean_positive_importance,peak_attribution_x,peak_attribution_y,centroid_x,centroid_y,spatial_spread_radius,fraction_above_025,fraction_above_050,fraction_above_075,connected_regions_count,largest_region_area_px,edge_border_concentration,corr_gcam_pearson,corr_gcam_spearman,corr_gcam_cosine,corr_gcam_iou_50,corr_gcam_pp_pearson,corr_gcam_pp_spearman,corr_gcam_pp_cosine,corr_gcam_pp_iou_50,corr_layercam_pearson,corr_layercam_spearman,corr_layercam_cosine,corr_layercam_iou_50
iccad5,HSCAD537,TP,HS,HS,True,0.9999,0.0001,results/xai/final_iccad5/iccad5/iccad5_TP_HS_predHS_HSCAD537,results/xai/final_iccad5/occlusion/iccad5/iccad5_TP_HS_predHS_HSCAD537,32,16,0.0,169,0.955,9.8313,4.2513,-0.387,0.5388,112,112,109.28,120.75,61.33,0.1173,0.0408,0.0204,1,2048,0.1293,0.7081,0.6964,0.7765,0.2526,0.7475,0.6182,0.8015,0.422,0.7289,0.5446,0.8155,0.1857
iccad5,HSCAD532,TP,HS,HS,True,1.0,0.0,results/xai/final_iccad5/iccad5/iccad5_TP_HS_predHS_HSCAD532,results/xai/final_iccad5/occlusion/iccad5/iccad5_TP_HS_predHS_HSCAD532,32,16,0.0,169,0.864,9.9998,2.618,-0.8071,0.5978,112,64,117.69,123.0,65.46,0.2551,0.1173,0.0306,1,5888,0.1267,0.6651,0.5897,0.8073,0.3587,0.6143,0.4736,0.787,0.2719,0.6628,0.5495,0.8014,0.1272
iccad5,HSCAD530,TP,HS,HS,True,0.9979,0.0021,results/xai/final_iccad5/iccad5/iccad5_TP_HS_predHS_HSCAD530,results/xai/final_iccad5/occlusion/iccad5/iccad5_TP_HS_predHS_HSCAD530,32,16,0.0,169,0.812,6.1713,1.5671,-0.4203,0.3267,128,160,123.08,116.77,63.83,0.2653,0.1633,0.0459,3,3328,0.1019,0.7323,0.6489,0.8155,0.4573,0.6594,0.5654,0.7796,0.2404,0.6621,0.6226,0.7781,0.0445
iccad5,NHSCAD51003,TN,NHS,NHS,True,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_TN_NHS_predNHS_NHSCAD51003,results/xai/final_iccad5/occlusion/iccad5/iccad5_TN_NHS_predNHS_NHSCAD51003,32,16,0.0,169,0.804,15.1843,1.1194,-0.4453,0.2471,64,96,93.43,96.71,74.24,0.1888,0.0612,0.0357,1,3072,0.1951,-0.0197,0.0757,0.0395,0.0,-0.2006,-0.2746,0.2269,0.0,-0.0683,-0.0096,0.445,0.0
iccad5,NNHSCAD5999_9,TN,NHS,NHS,True,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_9,results/xai/final_iccad5/occlusion/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_9,32,16,0.0,169,0.814,17.5121,1.069,-0.3553,0.2615,48,80,72.48,104.19,65.64,0.1327,0.0612,0.0204,1,3072,0.121,0.0,0.0,0.0,0.0,0.3379,0.3781,0.5215,0.099,0.207,0.2972,0.4155,0.0231
iccad5,NNHSCAD5999_6,TN,NHS,NHS,True,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_6,results/xai/final_iccad5/occlusion/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_6,32,16,0.0,169,0.807,17.5121,1.069,-0.3553,0.2615,48,80,72.48,104.19,65.64,0.1327,0.0612,0.0204,1,3072,0.121,0.0,0.0,0.0,0.0,0.3379,0.3781,0.5215,0.099,0.207,0.2972,0.4155,0.0231
iccad5,NHSCAD538_2,FP,NHS,HS,False,0.9982,0.0018,results/xai/final_iccad5/iccad5/iccad5_FP_NHS_predHS_NHSCAD538_2,results/xai/final_iccad5/occlusion/iccad5/iccad5_FP_NHS_predHS_NHSCAD538_2,32,16,0.0,169,0.804,6.305,1.8731,-1.2019,0.4441,112,160,126.95,120.72,78.53,0.2704,0.1173,0.0459,2,3840,0.2292,0.361,0.1878,0.6641,0.2156,0.3666,0.2137,0.6633,0.2662,0.3131,0.1773,0.5933,0.027
iccad5,NHSCAD532_8,FP,NHS,HS,False,0.9991,0.0009,results/xai/final_iccad5/iccad5/iccad5_FP_NHS_predHS_NHSCAD532_8,results/xai/final_iccad5/occlusion/iccad5/iccad5_FP_NHS_predHS_NHSCAD532_8,32,16,0.0,169,0.86,6.9922,1.9346,-0.7337,0.4489,112,160,132.27,120.27,76.86,0.2704,0.1224,0.0459,2,4096,0.2385,0.6059,0.4133,0.7624,0.3839,0.5411,0.3114,0.7325,0.3594,0.3817,0.298,0.6143,0.0216
iccad5,NHSCAD59_2,FP,NHS,HS,False,0.9985,0.0015,results/xai/final_iccad5/iccad5/iccad5_FP_NHS_predHS_NHSCAD59_2,results/xai/final_iccad5/occlusion/iccad5/iccad5_FP_NHS_predHS_NHSCAD59_2,32,16,0.0,169,0.813,6.4894,2.1042,-1.1197,0.5733,112,176,129.53,132.01,78.42,0.2959,0.1327,0.0357,3,4608,0.2559,0.3195,0.1821,0.6718,0.2299,0.292,0.2094,0.6216,0.177,0.2696,0.1462,0.5933,0.0285
iccad5,HSCAD516,FN,HS,NHS,False,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_FN_HS_predNHS_HSCAD516,results/xai/final_iccad5/occlusion/iccad5/iccad5_FN_HS_predNHS_HSCAD516,32,16,0.0,169,0.847,17.387,0.8902,-0.2883,0.1248,112,96,112.96,116.63,72.47,0.1684,0.0561,0.0204,2,2304,0.1447,-0.0153,0.0453,0.0269,0.0,0.1972,0.1824,0.4912,0.0,0.0784,0.1055,0.4125,0.0214
iccad5,HSCAD514,FN,HS,NHS,False,0.0463,0.9537,results/xai/final_iccad5/iccad5/iccad5_FN_HS_predNHS_HSCAD514,results/xai/final_iccad5/occlusion/iccad5/iccad5_FN_HS_predNHS_HSCAD514,32,16,0.0,169,0.806,3.0263,1.1245,-3.065,0.2687,64,80,75.55,70.79,69.15,0.1122,0.0357,0.0102,1,1792,0.249,-0.024,-0.046,0.0,0.0,-0.0862,-0.1158,0.1632,0.0,0.0604,0.172,0.3459,0.0
