benchmark,sample_id,case_type,actual_label,predicted_label,is_correct,p_hs,p_nhs,sample_dir,gcam_peak_x,gcam_peak_y,gcam_centroid_x,gcam_centroid_y,gcam_spread,gcam_area_gt50,gcam_connected_count,gcam_edge_conc,gcam_pp_peak_x,gcam_pp_peak_y,gcam_pp_centroid_x,gcam_pp_centroid_y,gcam_pp_spread,gcam_pp_area_gt50,gcam_pp_connected_count,gcam_pp_edge_conc,layercam_peak_x,layercam_peak_y,layercam_centroid_x,layercam_centroid_y,layercam_spread,layercam_area_gt50,layercam_connected_count,layercam_edge_conc
iccad5,HSCAD537,TP,HS,HS,True,0.9999,0.0001,results/xai/final_iccad5/iccad5/iccad5_TP_HS_predHS_HSCAD537,116,123,112.85,114.26,78.61,0.1064,5,0.2152,116,123,110.27,109.31,79.08,0.0776,6,0.2506,76,91,112.51,108.63,67.83,0.0124,10,0.1562
iccad5,HSCAD532,TP,HS,HS,True,1.0,0.0,results/xai/final_iccad5/iccad5/iccad5_TP_HS_predHS_HSCAD532,108,92,102.9,112.49,78.53,0.1276,8,0.2053,115,75,99.91,107.49,80.54,0.067,10,0.2507,131,76,104.88,108.4,70.23,0.0166,12,0.16
iccad5,HSCAD530,TP,HS,HS,True,0.9979,0.0021,results/xai/final_iccad5/iccad5/iccad5_TP_HS_predHS_HSCAD530,156,156,121.02,110.21,76.07,0.1696,5,0.2015,156,155,118.01,106.94,77.47,0.0658,10,0.2329,116,108,118.01,108.49,67.88,0.0076,7,0.1439
iccad5,NHSCAD51003,TN,NHS,NHS,True,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_TN_NHS_predNHS_NHSCAD51003,163,155,134.31,85.89,80.99,0.0012,2,0.3854,147,91,115.84,93.08,97.67,0.0408,14,0.4878,163,107,113.88,110.91,92.18,0.0078,11,0.3338
iccad5,NNHSCAD5999_9,TN,NHS,NHS,True,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_9,0,0,112.0,112.0,0.0,0.0,0,0.0,188,0,122.14,106.41,95.32,0.0901,2,0.3422,44,99,112.76,111.54,100.94,0.0216,21,0.437
iccad5,NNHSCAD5999_6,TN,NHS,NHS,True,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_TN_NHS_predNHS_NNHSCAD5999_6,0,0,112.0,112.0,0.0,0.0,0,0.0,188,0,122.14,106.41,95.32,0.0901,2,0.3422,44,99,112.76,111.54,100.94,0.0216,21,0.437
iccad5,NHSCAD538_2,FP,NHS,HS,False,0.9982,0.0018,results/xai/final_iccad5/iccad5/iccad5_FP_NHS_predHS_NHSCAD538_2,92,20,106.92,108.2,82.4,0.2795,4,0.2348,116,19,104.44,103.43,88.88,0.1642,5,0.3766,115,99,111.57,103.2,74.54,0.0101,12,0.2023
iccad5,NHSCAD532_8,FP,NHS,HS,False,0.9991,0.0009,results/xai/final_iccad5/iccad5/iccad5_FP_NHS_predHS_NHSCAD532_8,131,20,114.53,109.38,79.88,0.1826,5,0.2409,116,19,110.4,105.92,84.05,0.1524,4,0.2993,116,99,115.61,104.32,73.36,0.0076,12,0.1992
iccad5,NHSCAD59_2,FP,NHS,HS,False,0.9985,0.0015,results/xai/final_iccad5/iccad5/iccad5_FP_NHS_predHS_NHSCAD59_2,92,20,108.91,109.19,84.45,0.2843,6,0.263,108,0,103.2,101.32,93.66,0.1237,8,0.4763,116,100,113.59,104.78,76.78,0.0083,17,0.2247
iccad5,HSCAD516,FN,HS,NHS,False,0.0,1.0,results/xai/final_iccad5/iccad5/iccad5_FN_HS_predNHS_HSCAD516,171,28,171.5,25.07,11.45,0.0014,1,0.1994,43,108,127.65,118.22,90.96,0.0199,5,0.3234,188,19,123.87,118.83,95.6,0.024,25,0.3875
iccad5,HSCAD514,FN,HS,NHS,False,0.0463,0.9537,results/xai/final_iccad5/iccad5/iccad5_FN_HS_predNHS_HSCAD514,123,27,123.5,27.5,4.64,0.001,1,0.0312,108,83,108.97,98.07,83.6,0.0436,15,0.3713,139,163,109.63,108.09,91.93,0.0153,20,0.3742
