benchmark,sample_id,case_type,actual_label,predicted_label,method,level_pct,mask_area_px,target_area_px,control_area_px,control_n_draws,n_components,largest_component_area_frac,n_junction_seeds,n_corner_seeds,geometry_fraction,narrow_gap_fraction,thin_line_fraction,boundary_proximity_mean,junction_recall,junction_density_per_kpx,corner_recall,corner_density_per_kpx,local_density_mean,control_geometry_fraction_mean,control_geometry_fraction_std,control_geometry_fraction_min,control_geometry_fraction_max,control_narrow_gap_fraction_mean,control_narrow_gap_fraction_std,control_narrow_gap_fraction_min,control_narrow_gap_fraction_max,control_thin_line_fraction_mean,control_thin_line_fraction_std,control_thin_line_fraction_min,control_thin_line_fraction_max,control_boundary_proximity_mean_mean,control_boundary_proximity_mean_std,control_boundary_proximity_mean_min,control_boundary_proximity_mean_max,control_junction_recall_mean,control_junction_recall_std,control_junction_recall_min,control_junction_recall_max,control_junction_density_per_kpx_mean,control_junction_density_per_kpx_std,control_junction_density_per_kpx_min,control_junction_density_per_kpx_max,control_corner_recall_mean,control_corner_recall_std,control_corner_recall_min,control_corner_recall_max,control_corner_density_per_kpx_mean,control_corner_density_per_kpx_std,control_corner_density_per_kpx_min,control_corner_density_per_kpx_max,control_local_density_mean_mean,control_local_density_mean_std,control_local_density_mean_min,control_local_density_mean_max
iccad1,HS32,TP,HS,HS,gradcam,10,5018,5018,5120,30,7,0.0994,0,32,0.0943,0.2892,0.0727,5.375,0.0,0.0,0.149,12.356,0.3514,0.2522,0.0809,0.0873,0.4062,0.1669,0.0389,0.0869,0.248,0.0796,0.0208,0.0424,0.1295,8.899,2.6586,5.553,16.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0843,0.048,0.0,0.1779,6.8489,3.9014,0.0,14.453,0.2529,0.0723,0.0856,0.4011
iccad1,HS32,TP,HS,HS,gradcam_plus,10,5018,5018,5120,30,7,0.0994,0,32,0.1353,0.1088,0.0819,8.43,0.0,0.0,0.125,10.363,0.2416,0.2522,0.0809,0.0873,0.4062,0.1669,0.0389,0.0869,0.248,0.0796,0.0208,0.0424,0.1295,8.899,2.6586,5.553,16.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0843,0.048,0.0,0.1779,6.8489,3.9014,0.0,14.453,0.2529,0.0723,0.0856,0.4011
iccad1,HS32,TP,HS,HS,layercam,10,5018,5018,5120,30,7,0.0994,0,32,0.3749,0.3009,0.1405,4.059,0.0,0.0,0.2476,20.526,0.3768,0.2522,0.0809,0.0873,0.4062,0.1669,0.0389,0.0869,0.248,0.0796,0.0208,0.0424,0.1295,8.899,2.6586,5.553,16.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0843,0.048,0.0,0.1779,6.8489,3.9014,0.0,14.453,0.2529,0.0723,0.0856,0.4011
iccad1,HS32,TP,HS,HS,occlusion,10,5018,5018,5120,30,7,0.0994,0,32,0.5496,0.2914,0.16,3.687,0.0,0.0,0.2644,21.921,0.4861,0.2522,0.0809,0.0873,0.4062,0.1669,0.0389,0.0869,0.248,0.0796,0.0208,0.0424,0.1295,8.899,2.6586,5.553,16.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0843,0.048,0.0,0.1779,6.8489,3.9014,0.0,14.453,0.2529,0.0723,0.0856,0.4011
iccad1,HS32,TP,HS,HS,gradcam,20,10035,10035,10240,30,7,0.0994,0,32,0.1006,0.2602,0.0545,5.9,0.0,0.0,0.2163,8.969,0.3229,0.2386,0.0522,0.1478,0.4163,0.1638,0.0264,0.1221,0.2358,0.0785,0.0132,0.0527,0.1048,9.0631,1.7754,5.94,12.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1793,0.0609,0.0601,0.2837,7.2819,2.4746,2.441,11.523,0.2403,0.0502,0.1388,0.4065
iccad1,HS32,TP,HS,HS,gradcam_plus,20,10035,10035,10240,30,7,0.0994,0,32,0.1075,0.1323,0.0586,8.136,0.0,0.0,0.1827,7.573,0.2328,0.2386,0.0522,0.1478,0.4163,0.1638,0.0264,0.1221,0.2358,0.0785,0.0132,0.0527,0.1048,9.0631,1.7754,5.94,12.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1793,0.0609,0.0601,0.2837,7.2819,2.4746,2.441,11.523,0.2403,0.0502,0.1388,0.4065
iccad1,HS32,TP,HS,HS,layercam,20,10035,10035,10240,30,7,0.0994,0,32,0.3475,0.2687,0.1204,4.613,0.0,0.0,0.4111,17.04,0.3483,0.2386,0.0522,0.1478,0.4163,0.1638,0.0264,0.1221,0.2358,0.0785,0.0132,0.0527,0.1048,9.0631,1.7754,5.94,12.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1793,0.0609,0.0601,0.2837,7.2819,2.4746,2.441,11.523,0.2403,0.0502,0.1388,0.4065
iccad1,HS32,TP,HS,HS,occlusion,20,10035,10035,10240,30,7,0.0994,0,32,0.4333,0.2341,0.1352,5.208,0.0,0.0,0.4087,16.941,0.3714,0.2386,0.0522,0.1478,0.4163,0.1638,0.0264,0.1221,0.2358,0.0785,0.0132,0.0527,0.1048,9.0631,1.7754,5.94,12.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1793,0.0609,0.0601,0.2837,7.2819,2.4746,2.441,11.523,0.2403,0.0502,0.1388,0.4065
iccad1,HS32,TP,HS,HS,gradcam,30,15053,15053,15360,30,7,0.0994,0,32,0.1131,0.2557,0.0585,5.995,0.0,0.0,0.3389,9.367,0.304,0.2653,0.0404,0.1905,0.3763,0.1717,0.0187,0.1378,0.2106,0.0815,0.0097,0.0658,0.1039,8.5446,1.0918,6.566,11.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0988,0.0962,0.5024,7.7387,2.6762,2.604,13.607,0.2638,0.0359,0.1965,0.3598
iccad1,HS32,TP,HS,HS,gradcam_plus,30,15053,15053,15360,30,7,0.0994,0,32,0.1161,0.1491,0.0549,7.847,0.0,0.0,0.2981,8.238,0.2351,0.2653,0.0404,0.1905,0.3763,0.1717,0.0187,0.1378,0.2106,0.0815,0.0097,0.0658,0.1039,8.5446,1.0918,6.566,11.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0988,0.0962,0.5024,7.7387,2.6762,2.604,13.607,0.2638,0.0359,0.1965,0.3598
