case_type,benchmark,method,level_pct,n_samples,geometry_fraction_median,geometry_fraction_iqr,geometry_fraction_std,geometry_fraction_control_median,geometry_fraction_paired_diff_median,narrow_gap_fraction_median,narrow_gap_fraction_iqr,narrow_gap_fraction_std,narrow_gap_fraction_control_median,narrow_gap_fraction_paired_diff_median,thin_line_fraction_median,thin_line_fraction_iqr,thin_line_fraction_std,thin_line_fraction_control_median,thin_line_fraction_paired_diff_median,boundary_proximity_mean_median,boundary_proximity_mean_iqr,boundary_proximity_mean_std,boundary_proximity_mean_control_median,boundary_proximity_mean_paired_diff_median,junction_recall_median,junction_recall_iqr,junction_recall_std,junction_recall_control_median,junction_recall_paired_diff_median,junction_density_per_kpx_median,junction_density_per_kpx_iqr,junction_density_per_kpx_std,junction_density_per_kpx_control_median,junction_density_per_kpx_paired_diff_median,corner_recall_median,corner_recall_iqr,corner_recall_std,corner_recall_control_median,corner_recall_paired_diff_median,corner_density_per_kpx_median,corner_density_per_kpx_iqr,corner_density_per_kpx_std,corner_density_per_kpx_control_median,corner_density_per_kpx_paired_diff_median,local_density_mean_median,local_density_mean_iqr,local_density_mean_std,local_density_mean_control_median,local_density_mean_paired_diff_median
FN,iccad1,gradcam,10,2,0.0004,0.0004,0.0004,0.1043,-0.1038,0.0517,0.0013,0.0013,0.1769,-0.1252,0.0004,0.0004,0.0004,0.0359,-0.0355,71.0825,0.7915,0.7915,31.7263,39.3562,0.0,0.0,0.0,0.0667,-0.0667,0.0,0.0,0.0,0.1693,-0.1693,0.0044,0.0045,0.0044,0.1087,-0.1042,0.299,0.299,0.299,6.429,-6.13,0.014,0.0016,0.0016,0.1069,-0.093
FN,iccad1,gradcam,20,2,0.0005,0.0005,0.0005,0.1177,-0.1172,0.0311,0.0015,0.0015,0.1881,-0.157,0.0005,0.0005,0.0005,0.0395,-0.039,61.438,0.061,0.061,32.3104,29.1276,0.0,0.0,0.0,0.1167,-0.1167,0.0,0.0,0.0,0.1482,-0.1482,0.0089,0.0089,0.0089,0.2192,-0.2102,0.299,0.299,0.299,6.5495,-6.2505,0.0083,0.0015,0.0015,0.1187,-0.1104
FN,iccad1,gradcam,30,2,0.0003,0.0003,0.0003,0.1119,-0.1115,0.0207,0.001,0.001,0.1767,-0.156,0.0003,0.0003,0.0003,0.0382,-0.0378,59.215,0.09,0.09,34.254,24.9611,0.0,0.0,0.0,0.1666,-0.1666,0.0,0.0,0.0,0.141,-0.141,0.0089,0.0089,0.0089,0.3046,-0.2957,0.1995,0.1995,0.1995,6.0536,-5.8541,0.0055,0.001,0.001,0.1112,-0.1057
FN,iccad1,gradcam_plus,10,2,0.1692,0.0203,0.0203,0.1043,0.065,0.6375,0.0355,0.0355,0.1769,0.4606,0.0912,0.0037,0.0037,0.0359,0.0552,4.663,0.214,0.214,31.7263,-27.0633,0.5,0.5,0.5,0.0667,0.4334,1.2955,1.2955,1.2955,0.1693,1.1263,0.474,0.0674,0.0674,0.1087,0.3653,29.2945,7.1745,7.1745,6.429,22.8655,0.2886,0.0246,0.0246,0.1069,0.1817
FN,iccad1,gradcam_plus,20,2,0.1844,0.0332,0.0332,0.1177,0.0668,0.5458,0.04,0.04,0.1881,0.3577,0.0949,0.0078,0.0078,0.0395,0.0554,5.2535,0.3895,0.3895,32.3104,-27.0569,0.5,0.5,0.5,0.1167,0.3833,0.6475,0.6475,0.6475,0.1482,0.4993,0.7601,0.0239,0.0239,0.2192,0.541,23.219,3.189,3.189,6.5495,16.6695,0.2595,0.0198,0.0198,0.1187,0.1407
FN,iccad1,gradcam_plus,30,2,0.1866,0.0228,0.0228,0.1119,0.0748,0.4917,0.0284,0.0285,0.1767,0.315,0.09,0.0072,0.0072,0.0382,0.0519,6.02,0.184,0.184,34.254,-28.234,0.5,0.5,0.5,0.1666,0.3334,0.432,0.432,0.432,0.141,0.291,0.9675,0.0178,0.0178,0.3046,0.6629,19.5975,1.7275,1.7275,6.0536,13.5439,0.237,0.0171,0.0171,0.1112,0.1258
FN,iccad1,layercam,10,2,0.2895,0.0082,0.0082,0.1043,0.1853,0.4847,0.0077,0.0078,0.1769,0.3077,0.1097,0.0029,0.0029,0.0359,0.0738,6.9435,0.8425,0.8425,31.7263,-24.7828,0.0,0.0,0.0,0.0667,-0.0667,0.0,0.0,0.0,0.1693,-0.1693,0.3821,0.0085,0.0085,0.1087,0.2733,23.316,2.989,2.989,6.429,16.887,0.2902,0.0099,0.0099,0.1069,0.1832
FN,iccad1,layercam,20,2,0.2539,0.0053,0.0053,0.1177,0.1362,0.4253,0.0,0.0,0.1881,0.2372,0.0907,0.0014,0.0014,0.0395,0.0512,10.9665,1.0285,1.0285,32.3104,-21.3439,0.0,0.0,0.0,0.1167,-0.1167,0.0,0.0,0.0,0.1482,-0.1482,0.6084,0.0809,0.0809,0.2192,0.3892,18.7845,4.4345,4.4345,6.5495,12.235,0.255,0.0087,0.0087,0.1187,0.1363
FN,iccad1,layercam,30,2,0.2194,0.0103,0.0103,0.1119,0.1076,0.3669,0.0067,0.0066,0.1767,0.1902,0.075,0.0015,0.0015,0.0382,0.0368,15.8875,0.5575,0.5575,34.254,-18.3665,0.0,0.0,0.0,0.1666,-0.1666,0.0,0.0,0.0,0.141,-0.141,0.7565,0.0276,0.0276,0.3046,0.4518,15.412,2.192,2.192,6.0536,9.3584,0.2236,0.0098,0.0098,0.1112,0.1124
FN,iccad1,occlusion,10,2,0.4054,0.0724,0.0724,0.1043,0.3012,0.3802,0.0016,0.0016,0.1769,0.2033,0.1072,0.0118,0.0117,0.0359,0.0713,5.538,0.352,0.352,31.7263,-26.1883,0.0,0.0,0.0,0.0667,-0.0667,0.0,0.0,0.0,0.1693,-0.1693,0.1808,0.0233,0.0233,0.1087,0.0721,11.1595,2.5905,2.5905,6.429,4.7305,0.377,0.0475,0.0475,0.1069,0.2701
FN,iccad1,occlusion,20,2,0.2559,0.0422,0.0422,0.1177,0.1382,0.2836,0.0273,0.0273,0.1881,0.0955,0.068,0.0027,0.0027,0.0395,0.0285,11.761,2.316,2.316,32.3104,-20.5494,0.0,0.0,0.0,0.1167,-0.1167,0.0,0.0,0.0,0.1482,-0.1482,0.2298,0.0393,0.0393,0.2192,0.0107,7.125,1.943,1.943,6.5495,0.5755,0.2497,0.038,0.0381,0.1187,0.131
FN,iccad1,occlusion,30,2,0.196,0.0102,0.0102,0.1119,0.0841,0.2287,0.0023,0.0023,0.1767,0.052,0.0529,0.0023,0.0024,0.0382,0.0148,20.983,0.833,0.833,34.254,-13.271,0.0,0.0,0.0,0.1666,-0.1666,0.0,0.0,0.0,0.141,-0.141,0.3333,0.1282,0.1282,0.3046,0.0287,7.0415,3.3215,3.3215,6.0536,0.9879,0.1891,0.0122,0.0122,0.1112,0.0779
FN,iccad2,gradcam,10,3,0.0,0.0016,0.0015,0.1706,-0.1706,0.0,0.0052,0.0049,0.1937,-0.1937,0.0,0.0016,0.0015,0.0554,-0.0554,56.451,15.466,14.0271,27.6789,25.5568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1059,-0.1059,0.0,0.0,0.0,6.8554,-6.8554,0.0,0.0022,0.0021,0.1667,-0.1667
FN,iccad2,gradcam,20,3,0.0,0.0077,0.0073,0.1397,-0.1397,0.0,0.017,0.0161,0.1818,-0.1818,0.0,0.0052,0.0049,0.0493,-0.0493,53.213,15.74,14.5007,30.4904,20.3808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098,0.0093,0.2011,-0.2011,0.0,0.548,0.5167,6.1264,-6.1264,0.0,0.0152,0.0143,0.1426,-0.1426
FN,iccad2,gradcam,30,3,0.0,0.0312,0.0294,0.1393,-0.1393,0.0,0.0343,0.0323,0.1805,-0.1805,0.0,0.0184,0.0173,0.0475,-0.0475,50.238,18.8965,16.5743,31.1653,19.0727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0411,0.0388,0.2996,-0.2996,0.0,1.528,1.4406,6.0851,-6.0851,0.0,0.0324,0.0305,0.1401,-0.1401
FN,iccad2,gradcam_plus,10,3,0.3208,0.1509,0.1257,0.1706,0.2404,0.5652,0.2494,0.2183,0.1937,0.3656,0.0807,0.0679,0.0626,0.0554,0.0587,2.637,5.126,4.7418,27.6789,-25.4399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3782,0.1797,0.1527,0.1059,0.2657,23.515,7.274,6.2436,6.8554,16.6596,0.2471,0.1081,0.09,0.1667,0.1513
FN,iccad2,gradcam_plus,20,3,0.3181,0.1724,0.1433,0.1397,0.2488,0.4537,0.2343,0.1981,0.1818,0.2708,0.0843,0.0656,0.0551,0.0493,0.0646,3.616,6.7195,6.2707,30.4904,-26.8744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987,0.37,0.3152,0.2011,0.4976,21.724,8.6695,7.5195,6.1264,15.5976,0.2388,0.1165,0.0967,0.1426,0.1683
FN,iccad2,gradcam_plus,30,3,0.2453,0.122,0.1009,0.1393,0.1625,0.3402,0.1793,0.1493,0.1805,0.1597,0.0687,0.0423,0.0357,0.0475,0.0459,16.323,2.4025,2.1796,31.1653,-14.8423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8718,0.3604,0.3269,0.2996,0.5722,17.671,5.148,4.7625,6.0851,11.9505,0.1907,0.082,0.0677,0.1401,0.1098
FN,iccad2,layercam,10,3,0.2451,0.0294,0.0255,0.1706,0.0809,0.4348,0.0978,0.09,0.1937,0.2352,0.1126,0.0397,0.0325,0.0554,0.0572,12.837,6.119,5.2308,27.6789,-14.8419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2885,0.1721,0.142,0.1059,0.176,17.935,5.4805,5.1208,6.8554,11.0796,0.2223,0.0491,0.0412,0.1667,0.0556
FN,iccad2,layercam,20,3,0.1782,0.0532,0.0496,0.1397,0.0526,0.3378,0.0685,0.0588,0.1818,0.1549,0.0843,0.0467,0.0386,0.0493,0.035,19.39,8.152,7.4583,30.4904,-11.1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4423,0.1429,0.1191,0.2011,0.2412,18.137,2.89,2.4627,6.1264,7.6256,0.1799,0.0685,0.0561,0.1426,0.0373
FN,iccad2,layercam,30,3,0.1543,0.0664,0.0584,0.1393,0.015,0.2819,0.052,0.0433,0.1805,0.1014,0.0728,0.0452,0.0373,0.0475,0.0253,23.682,9.508,8.8451,31.1653,-7.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321,0.0985,0.0844,0.2996,0.2325,13.021,3.554,2.9937,6.0851,7.3005,0.1584,0.076,0.0626,0.1401,0.0183
FN,iccad2,occlusion,10,3,0.2244,0.1451,0.1316,0.1706,0.144,0.2933,0.116,0.0952,0.1937,0.0937,0.0893,0.0285,0.0245,0.0554,0.0226,7.108,0.616,0.5696,27.6789,-21.7539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1891,0.1154,0.1004,0.1059,0.0766,11.758,12.8535,10.5075,6.8554,4.9026,0.2037,0.1468,0.1288,0.1667,0.1267
FN,iccad2,occlusion,20,3,0.1725,0.1122,0.0967,0.1397,0.1032,0.3002,0.1022,0.0895,0.1818,0.1173,0.064,0.0207,0.017,0.0493,0.019,8.324,0.914,0.7595,30.4904,-23.3794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773,0.0265,0.0217,0.2011,0.0563,9.367,4.1855,3.5321,6.1264,3.187,0.1596,0.093,0.0844,0.1426,0.0891
