benchmark,sample_id,case_type,method,level_pct,is_degenerate_map,mean_local_width_px,mean_local_gap_px,mean_local_density,mean_boundary_distance_px,n_geometry_px_in_mask,n_background_px_in_mask,mask_area_px
iccad1,HS32,TP,gradcam,10,False,3.86,13.663,0.3514,5.375,473,4545,5018
iccad1,HS32,TP,gradcam_plus,10,False,4.436,21.097,0.2416,8.43,679,4339,5018
iccad1,HS32,TP,layercam,10,False,7.585,11.588,0.3768,4.059,1881,3137,5018
iccad1,HS32,TP,occlusion,10,False,9.752,8.883,0.4861,3.687,2758,2260,5018
iccad1,HS32,TP,gradcam,20,False,5.255,14.744,0.3229,5.9,1010,9025,10035
iccad1,HS32,TP,gradcam_plus,20,False,4.853,19.867,0.2328,8.136,1079,8956,10035
iccad1,HS32,TP,layercam,20,False,8.098,12.849,0.3483,4.613,3487,6548,10035
iccad1,HS32,TP,occlusion,20,False,8.84,15.105,0.3714,5.208,4348,5687,10035
iccad1,HS32,TP,gradcam,30,False,5.525,15.052,0.304,5.995,1703,13350,15053
iccad1,HS32,TP,gradcam_plus,30,False,5.537,19.261,0.2351,7.847,1747,13306,15053
iccad1,HS32,TP,layercam,30,False,8.214,13.787,0.3304,4.995,4927,10126,15053
iccad1,HS32,TP,occlusion,30,False,9.208,16.263,0.34,5.859,5486,9567,15053
iccad1,HS123,TP,gradcam,10,False,4.233,13.509,0.3486,5.614,162,4856,5018
iccad1,HS123,TP,gradcam_plus,10,False,4.309,20.913,0.1925,9.077,239,4779,5018
iccad1,HS123,TP,layercam,10,False,7.754,10.581,0.4065,3.753,1962,3056,5018
iccad1,HS123,TP,occlusion,10,False,9.048,9.638,0.4183,3.684,2430,2588,5018
iccad1,HS123,TP,gradcam,20,False,4.33,14.015,0.321,5.694,670,9365,10035
iccad1,HS123,TP,gradcam_plus,20,False,4.045,18.9,0.2229,8.067,537,9498,10035
iccad1,HS123,TP,layercam,20,False,8.05,11.743,0.3708,4.2,3738,6297,10035
iccad1,HS123,TP,occlusion,20,False,9.482,13.383,0.3824,4.885,4204,5831,10035
iccad1,HS123,TP,gradcam,30,False,4.531,14.171,0.3117,5.536,1753,13300,15053
iccad1,HS123,TP,gradcam_plus,30,False,4.738,18.44,0.2303,7.662,1261,13792,15053
iccad1,HS123,TP,layercam,30,False,8.305,12.979,0.3464,4.683,5301,9752,15053
iccad1,HS123,TP,occlusion,30,False,9.006,13.124,0.3728,4.75,6034,9019,15053
iccad1,HS27,TP,gradcam,10,False,4.695,15.126,0.3291,5.676,857,4161,5018
iccad1,HS27,TP,gradcam_plus,10,False,5.049,19.305,0.2907,7.238,1004,4014,5018
iccad1,HS27,TP,layercam,10,False,8.89,13.38,0.3663,4.942,1713,3305,5018
iccad1,HS27,TP,occlusion,10,False,8.514,8.315,0.4303,3.213,2543,2475,5018
iccad1,HS27,TP,gradcam,20,False,6.268,14.198,0.3289,5.467,1620,8415,10035
