method,level_pct,feature,tp_n,fp_n,tp_n_degenerate_excluded,fp_n_degenerate_excluded,tp_median,tp_iqr,tp_mean,tp_std,fp_median,fp_iqr,fp_mean,fp_std,mannwhitney_u,p_value,auc_tp_vs_fp,cliffs_delta
gradcam,10,mean_local_width_px,15,15,0,0,5.496,0.592,5.3913,0.754,5.528,1.183,5.0633,0.972,119.0,0.8034411566561627,0.5289,0.0578
gradcam,10,mean_local_gap_px,15,15,0,0,7.304,7.3965,9.9906,5.33,6.068,3.7215,7.8758,3.4409,137.0,0.3195059648919748,0.6089,0.2178
gradcam,10,mean_local_density,15,15,0,0,0.3694,0.1057,0.3992,0.0791,0.431,0.1055,0.4293,0.066,83.5,0.2371039611073864,0.3711,-0.2578
gradcam,10,mean_boundary_distance_px,15,15,0,0,2.332,2.7925,3.4847,1.982,1.929,1.5975,2.6548,1.2693,144.0,0.1985058531538877,0.64,0.28
gradcam,20,mean_local_width_px,15,15,0,0,5.304,0.5345,5.5296,0.6599,5.278,0.657,5.1766,0.5971,138.0,0.2997583700887151,0.6133,0.2267
gradcam,20,mean_local_gap_px,15,15,0,0,8.295,6.8935,10.7675,4.7715,7.28,3.6495,8.7585,3.2891,137.0,0.3195059648919748,0.6089,0.2178
gradcam,20,mean_local_density,15,15,0,0,0.3471,0.1237,0.3748,0.0679,0.4168,0.0698,0.4029,0.0589,80.0,0.18436124604380766,0.3556,-0.2889
gradcam,20,mean_boundary_distance_px,15,15,0,0,2.889,2.8885,3.7009,1.8458,2.249,1.662,2.9125,1.2763,139.0,0.28084201086629845,0.6178,0.2356
gradcam,30,mean_local_width_px,15,15,0,0,5.316,0.608,5.5991,0.6917,5.223,0.4115,5.3058,0.4645,140.5,0.2539640807819651,0.6244,0.2489
gradcam,30,mean_local_gap_px,15,15,0,0,10.626,6.0475,11.5674,4.6542,7.961,4.5285,9.3903,3.3166,144.0,0.1985058531538877,0.64,0.28
gradcam,30,mean_local_density,15,15,0,0,0.3117,0.1192,0.35,0.0651,0.4118,0.09,0.3865,0.0607,72.5,0.10130368789404925,0.3222,-0.3556
gradcam,30,mean_boundary_distance_px,15,15,0,0,3.656,2.626,3.9881,1.8066,2.477,1.9425,3.1228,1.3045,145.0,0.1844100692216365,0.6444,0.2889
gradcam_plus,10,mean_local_width_px,15,15,0,0,5.049,0.9745,4.5632,0.9815,5.051,1.4325,5.0929,1.7513,89.0,0.34003216856941376,0.3956,-0.2089
