method,level_pct,feature,tp_n,fp_n,tp_n_degenerate_excluded,fp_n_degenerate_excluded,tp_median,tp_iqr,tp_mean,tp_std,fp_median,fp_iqr,fp_mean,fp_std,mannwhitney_u,p_value,auc_tp_vs_fp,cliffs_delta
gradcam,10,mean_local_width_px,12,13,3,2,5.505,0.745,5.4122,0.8361,5.528,1.151,4.9627,0.99,89.0,0.5678406466053417,0.5705,0.141
gradcam,10,mean_local_gap_px,12,13,3,2,6.6395,5.508,8.3616,3.5771,6.035,0.921,6.7655,2.0998,96.0,0.3411606266705748,0.6154,0.2308
gradcam,10,mean_local_density,12,13,3,2,0.4212,0.1016,0.4225,0.071,0.4422,0.0796,0.4433,0.055,61.5,0.38405306834676844,0.3942,-0.2115
gradcam,10,mean_boundary_distance_px,12,13,3,2,2.1845,1.836,2.9682,1.5388,1.864,0.247,2.3011,0.9587,101.0,0.22101309719361817,0.6474,0.2949
gradcam,20,mean_local_width_px,12,13,3,2,5.3625,0.737,5.6151,0.7118,5.278,0.596,5.1118,0.6004,106.0,0.13470504984007844,0.6795,0.359
gradcam,20,mean_local_gap_px,12,13,3,2,8.0685,5.9478,9.2451,3.3426,6.92,1.959,7.7305,2.1304,97.0,0.31428698551892353,0.6218,0.2436
gradcam,20,mean_local_density,12,13,3,2,0.3929,0.1286,0.3933,0.0634,0.4261,0.0396,0.415,0.0496,59.0,0.3141939057161439,0.3782,-0.2436
gradcam,20,mean_boundary_distance_px,12,13,3,2,2.5895,2.0727,3.2066,1.5233,2.15,0.561,2.5712,1.0026,95.0,0.36946194274750377,0.609,0.2179
gradcam,30,mean_local_width_px,12,13,3,2,5.436,0.9415,5.6959,0.7414,5.223,0.412,5.278,0.4758,105.5,0.14186292650475738,0.6763,0.3526
gradcam,30,mean_local_gap_px,12,13,3,2,8.544,6.0818,10.173,3.4151,7.491,1.895,8.4482,2.4474,103.0,0.1826551205854452,0.6603,0.3205
gradcam,30,mean_local_density,12,13,3,2,0.3787,0.1102,0.3681,0.0605,0.4149,0.0546,0.3995,0.0511,50.5,0.14186292650475738,0.3237,-0.3526
gradcam,30,mean_boundary_distance_px,12,13,3,2,2.854,2.1692,3.5266,1.5264,2.441,0.663,2.8036,1.0951,102.0,0.20116781630321023,0.6538,0.3077
gradcam_plus,10,mean_local_width_px,10,9,5,6,4.556,0.8135,4.3675,1.022,5.051,0.929,5.5801,1.5258,23.0,0.0791793495755705,0.2556,-0.4889
gradcam_plus,10,mean_local_gap_px,10,9,5,6,21.005,16.9012,18.3886,9.2391,5.704,10.319,10.2681,6.0579,65.0,0.11134688653314041,0.7222,0.4444
gradcam_plus,10,mean_local_density,10,9,5,6,0.217,0.2048,0.2364,0.1366,0.4212,0.2047,0.3858,0.1049,17.0,0.024744672046398936,0.1889,-0.6222
gradcam_plus,10,mean_boundary_distance_px,10,9,5,6,8.7535,8.2368,7.7764,4.3975,1.898,4.564,3.9038,2.7036,64.0,0.1309111278962908,0.7111,0.4222
