checkpoint,unit,alive_HS_n,alive_NHS_n,alive_HS_mean,alive_NHS_mean,cohens_d_alive_only
OLD,0,1,18415,0.0,0.0,
OLD,1,1,18415,0.0,0.0,
OLD,2,1,18415,0.0,0.0,
OLD,3,1,18415,2.9728,1.1071,
OLD,4,1,18415,5.959,4.8717,
OLD,5,1,18415,2.2306,0.9521,
OLD,6,1,18415,0.0,0.0739,
OLD,7,1,18415,0.0,0.0027,
OLD,8,1,18415,10.2869,9.2084,
OLD,9,1,18415,0.0,0.0,
OLD,10,1,18415,6.5375,4.1686,
OLD,11,1,18415,0.0,0.0,
OLD,12,1,18415,0.0,0.0,
OLD,13,1,18415,15.7525,8.1727,
OLD,14,1,18415,8.5118,6.0977,
OLD,15,1,18415,15.1556,13.5773,
NEW,0,9,19008,0.0,0.0,0.0
NEW,1,9,19008,0.0,0.0,0.0
NEW,2,9,19008,0.0527,1.1315,-0.9009
NEW,3,9,19008,0.0,1.2368,-0.6833
NEW,4,9,19008,0.0,1.7372,-1.3209
NEW,5,9,19008,0.0,0.0061,-0.113
NEW,6,9,19008,0.0,0.0,0.0
NEW,7,9,19008,1.0728,6.342,-0.9325
NEW,8,9,19008,4.1676,21.4305,-2.3632
NEW,9,9,19008,1.7714,9.1636,-1.1925
NEW,10,9,19008,0.0,0.9032,-0.5955
NEW,11,9,19008,0.0,0.0,0.0
NEW,12,9,19008,2.013,14.0271,-1.755
NEW,13,9,19008,0.0,0.3565,-0.4434
NEW,14,9,19008,0.0,0.0,0.0
NEW,15,9,19008,0.0,0.0,0.0
