checkpoint,unit,dead_on_all_samples,dead_on_all_HS,dead_on_all_NHS,active_frac_overall,active_frac_HS,active_frac_NHS,predominant_class
OLD,0,True,True,True,0.0,0.0,0.0,mixed
OLD,1,True,True,True,0.0,0.0,0.0,mixed
OLD,2,True,True,True,0.0,0.0,0.0,mixed
OLD,3,False,False,False,0.4014,0.0244,0.4022,NHS
OLD,4,False,False,False,0.8489,0.0244,0.8506,NHS
OLD,5,False,False,False,0.4012,0.0244,0.402,NHS
OLD,6,False,True,False,0.0681,0.0,0.0682,NHS
OLD,7,False,True,False,0.0349,0.0,0.035,NHS
OLD,8,False,False,False,0.7943,0.0244,0.7959,NHS
OLD,9,True,True,True,0.0,0.0,0.0,mixed
OLD,10,False,False,False,0.7741,0.0244,0.7757,NHS
OLD,11,True,True,True,0.0,0.0,0.0,mixed
OLD,12,True,True,True,0.0,0.0,0.0,mixed
OLD,13,False,False,False,0.8485,0.0244,0.8502,NHS
OLD,14,False,False,False,0.8036,0.0244,0.8053,NHS
OLD,15,False,False,False,0.9326,0.0244,0.9345,NHS
NEW,0,True,True,True,0.0,0.0,0.0,mixed
NEW,1,True,True,True,0.0,0.0,0.0,mixed
NEW,2,False,False,False,0.4267,0.0244,0.4275,NHS
NEW,3,False,True,False,0.3126,0.0,0.3133,NHS
NEW,4,False,True,False,0.627,0.0,0.6283,NHS
NEW,5,False,True,False,0.0066,0.0,0.0066,NHS
NEW,6,True,True,True,0.0,0.0,0.0,mixed
NEW,7,False,False,False,0.6665,0.0244,0.6679,NHS
NEW,8,False,False,False,0.9816,0.2195,0.9832,NHS
NEW,9,False,False,False,0.8158,0.0244,0.8175,NHS
NEW,10,False,True,False,0.2434,0.0,0.2439,NHS
NEW,11,True,True,True,0.0,0.0,0.0,mixed
NEW,12,False,False,False,0.9442,0.0244,0.9461,NHS
NEW,13,False,True,False,0.1127,0.0,0.1129,NHS
NEW,14,True,True,True,0.0,0.0,0.0,mixed
NEW,15,True,True,True,0.0,0.0,0.0,mixed
