sample_id,true_label,old_case_type,new_case_type,old_pred,new_pred,pred_agree,old_zero,new_zero,transition,old_norm,new_norm,old_n_active,new_n_active,cosine_old_vs_new
HSCAD50,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD51,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD510,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD511,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD512,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD513,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD514,HS,TP,TP,0,0,True,True,False,zero->nonzero,0.0,1.7926,0,1,
HSCAD515,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD516,HS,FN,FN,1,1,True,False,False,nonzero->nonzero,27.3526,35.2428,8,5,0.2539
HSCAD517,HS,TP,TP,0,0,True,True,False,zero->nonzero,0.0,0.2497,0,1,
HSCAD518,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD519,HS,TP,TP,0,0,True,True,False,zero->nonzero,0.0,0.8239,0,1,
HSCAD52,HS,TP,TP,0,0,True,True,False,zero->nonzero,0.0,0.9193,0,1,
HSCAD520,HS,TP,TP,0,0,True,True,False,zero->nonzero,0.0,1.8492,0,1,
HSCAD521,HS,TP,TP,0,0,True,True,False,zero->nonzero,0.0,0.8854,0,1,
HSCAD522,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD523,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD524,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD525,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD526,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD527,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD528,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD529,HS,TP,FN,0,1,False,True,False,zero->nonzero,0.0,4.6857,0,1,
HSCAD53,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD530,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD531,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD532,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD533,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD534,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD535,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD536,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD537,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD538,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD539,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD54,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD540,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD55,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD56,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD57,HS,TP,FN,0,1,False,True,False,zero->nonzero,0.0,2.5074,0,1,
HSCAD58,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
HSCAD59,HS,TP,TP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
NHSCAD50.png1,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,24.5531,35.6241,6,5,0.0107
NHSCAD50.png2,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,11.6002,21.8588,5,3,0.0209
NHSCAD50.png3,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,4.7509,11.8671,3,2,0.0
NHSCAD50.png4,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,12.7643,29.9759,4,5,0.0995
NHSCAD50.png6,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,12.7793,20.134,5,4,0.0
NHSCAD50.png7,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,13.5069,30.442,3,5,0.0
NHSCAD50.png8,NHS,FP,FP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
NHSCAD50.png9,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,10.0638,15.5983,5,3,0.0
NHSCAD51.png1,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,2.8601,0,1,
NHSCAD51.png2,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,3.1925,0,1,
NHSCAD51.png3,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,3.6677,14.7289,2,2,0.0
NHSCAD51.png4,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,6.8993,0,1,
NHSCAD51.png6,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,0.9568,11.8688,2,1,0.0
NHSCAD51.png7,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,7.777,0,1,
NHSCAD51.png8,NHS,FP,FP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
NHSCAD51.png9,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,4.5304,0,1,
NHSCAD510.png1,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,36.1945,41.7514,8,6,0.3975
NHSCAD510.png2,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,5.3483,0,1,
NHSCAD510.png3,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,20.7101,26.5999,8,4,0.1422
NHSCAD510.png4,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,2.3653,15.6732,2,2,0.0
NHSCAD510.png6,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,8.1417,23.6007,5,4,0.0
NHSCAD510.png7,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,3.5534,20.5347,1,2,0.0
NHSCAD510.png8,NHS,FP,FP,0,0,True,True,False,zero->nonzero,0.0,0.966,0,1,
NHSCAD510.png9,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,3.3906,20.2643,3,4,0.0
NHSCAD5100,NHS,FP,TN,0,1,False,False,False,nonzero->nonzero,1.1326,9.2113,2,2,0.0
NHSCAD51000,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,34.4114,35.5821,8,8,0.3557
NHSCAD51001,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,13.1987,23.122,6,6,0.4953
NHSCAD51002,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.2309,24.6069,7,5,0.2217
NHSCAD51003,NHS,FP,TN,0,1,False,True,False,zero->nonzero,0.0,4.7293,0,1,
NHSCAD51004,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,26.6944,19.3897,7,7,0.4728
NHSCAD51005,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,20.4416,28.5841,6,3,0.3037
NHSCAD51006,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,14.1297,25.1877,5,4,0.0
NHSCAD51007,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,36.1379,43.4093,8,8,0.3958
NHSCAD51008,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,19.0563,24.4723,6,4,0.0727
NHSCAD51009,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,35.5639,36.9442,8,6,0.3289
NHSCAD5101,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,26.0724,26.1667,7,4,0.1163
NHSCAD51010,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,27.7235,39.8201,8,6,0.3473
NHSCAD51011,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,24.0456,32.6954,6,6,0.4145
NHSCAD51012,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.1297,28.2534,7,4,0.164
NHSCAD51013,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,5.5595,9.3727,5,2,0.0
NHSCAD51014,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,28.59,37.3397,7,4,0.3536
NHSCAD51015,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,7.9769,20.5184,4,3,0.0
NHSCAD51016,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.5725,31.1982,7,6,0.4064
NHSCAD51017,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,12.0462,5.5496,4,2,0.4144
NHSCAD51018,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,25.5561,26.6554,7,5,0.2828
NHSCAD51019,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.2589,36.6756,6,4,0.1418
NHSCAD5102,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,30.8555,38.0132,8,5,0.2743
NHSCAD51020,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,7.9294,8.5038,2,2,0.0
NHSCAD51021,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,14.303,17.0156,7,2,0.2302
NHSCAD51022,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,25.5173,33.7092,7,5,0.3576
NHSCAD51023,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,24.223,30.3494,6,5,0.4395
NHSCAD51024,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,31.1304,30.0812,8,5,0.3712
NHSCAD51025,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,23.556,56.0395,6,8,0.3877
NHSCAD51026,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,23.1988,17.4718,7,3,0.2051
NHSCAD51027,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,27.9917,32.5491,7,6,0.4793
NHSCAD51028,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,25.4637,36.4249,6,6,0.4454
NHSCAD51029,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,17.0507,26.4963,5,3,0.3521
NHSCAD5103,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,3.0983,13.3827,2,3,0.0
NHSCAD51030,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,23.9808,26.4223,7,6,0.5276
NHSCAD51031,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,37.9256,37.3202,8,6,0.346
NHSCAD51032,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,30.711,42.5615,8,9,0.4257
NHSCAD51033,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,30.2448,42.347,8,9,0.4329
NHSCAD51034,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.9327,31.3178,6,6,0.4272
NHSCAD51035,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,20.6719,23.8867,5,6,0.4262
NHSCAD51036,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.851,35.2525,6,4,0.227
NHSCAD51037,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,16.564,30.8553,5,6,0.3793
NHSCAD51038,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,17.4379,27.6014,7,3,0.543
NHSCAD51039,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,12.4639,21.7829,6,4,0.1746
NHSCAD5104,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.539,22.0574,6,4,0.1638
NHSCAD51040,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,24.1545,37.172,8,7,0.3109
NHSCAD51041,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,31.4958,28.9441,10,8,0.424
NHSCAD51042,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,29.2223,29.5001,8,5,0.2941
NHSCAD51043,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.753,28.7649,6,5,0.478
NHSCAD51044,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,33.9296,36.1705,8,8,0.3507
NHSCAD51045,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,38.0557,41.4673,8,8,0.4258
NHSCAD51046,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,31.9249,35.6883,8,6,0.3389
NHSCAD51047,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,29.4203,29.2954,7,5,0.3612
NHSCAD51048,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,20.0643,24.599,5,6,0.3295
NHSCAD51049,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,34.8689,39.2216,8,7,0.3623
NHSCAD5105,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,20.52,40.5699,6,8,0.4056
NHSCAD51050,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,22.4451,23.4521,7,5,0.3739
NHSCAD51051,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,31.9453,26.1756,8,5,0.3577
NHSCAD51052,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,18.8874,14.7047,6,4,0.3027
NHSCAD51053,NHS,FP,FP,0,0,True,True,True,zero->zero,0.0,0.0,0,0,
NHSCAD51054,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,12.064,18.9864,5,3,0.2713
NHSCAD51055,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,18.4388,19.9731,3,3,0.2084
NHSCAD51056,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,35.1199,42.4599,8,7,0.3535
NHSCAD51057,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,10.8138,26.4608,4,3,0.0275
NHSCAD51058,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,23.8351,27.3069,7,6,0.3966
NHSCAD51059,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,11.4248,12.8202,4,3,0.4554
NHSCAD5106,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,29.2071,44.063,8,9,0.4382
NHSCAD51060,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,18.4313,25.593,6,4,0.0429
NHSCAD51061,NHS,TN,TN,1,1,True,False,False,nonzero->nonzero,20.6435,28.1829,6,4,0.2465
