checkpoint,sample_id,case_type,is_zero_vector,gradcam_is_degenerate,gradcam_plus_is_degenerate,layercam_is_degenerate,occlusion_is_degenerate
OLD,HSCAD50,TP,True,True,True,True,True
OLD,HSCAD51,TP,True,True,True,True,True
OLD,HSCAD510,TP,True,True,True,True,True
OLD,NHSCAD510_1,TN,False,True,True,False,False
OLD,NHSCAD51000,TN,False,True,True,False,False
OLD,NNHSCAD5999_9,TN,False,True,True,False,False
OLD,NNHSCAD5994_4,FP,False,False,True,False,False
OLD,NHSCAD50_8,FP,True,True,True,True,True
OLD,NHSCAD51_1,FP,True,True,True,True,True
OLD,HSCAD516,FN,False,True,True,False,False
NEW,HSCAD50,TP,True,True,True,True,True
NEW,HSCAD51,TP,True,True,True,True,False
NEW,HSCAD510,TP,True,True,True,True,True
NEW,NHSCAD510_1,TN,False,True,True,False,False
NEW,NHSCAD51000,TN,False,True,True,False,False
NEW,NNHSCAD5999_9,TN,False,True,True,False,False
NEW,NNHSCAD5994_4,FP,False,True,True,False,False
NEW,NHSCAD50_8,FP,True,True,True,True,False
NEW,NHSCAD51_1,FP,False,True,True,False,False
NEW,HSCAD516,FN,False,True,True,False,False
