sample_id,case_type,old_p_hs,new_p_hs,new_p_nhs,conv_early_2_std,conv_mid_2_std,conv_final_2_std,dense_penult_n_positive,dense_penult_sum,logit_nhs,is_dead
HSCAD50,TP,0.5825,0.5677,0.4323,0.17041335999965668,1.00468909740448,2.7160706520080566,0,0.0,-0.2725,True
HSCAD51,TP,0.5825,0.5677,0.4323,0.18520872294902802,1.0505808591842651,2.725888967514038,0,0.0,-0.2725,True
HSCAD510,TP,0.5825,0.5677,0.4323,0.17092886567115784,1.0137102603912354,2.772062063217163,0,0.0,-0.2725,True
NHSCAD510_1,TN,0.0,0.0,1.0,0.14626556634902954,0.9077127575874329,2.234548807144165,6,80.35443115234375,11.288,False
NHSCAD51000,TN,0.0,0.0,1.0,0.09096270054578781,0.7203077077865601,1.6577732563018799,8,77.19889831542969,13.1274,False
NNHSCAD5999_9,TN,0.0,0.0,1.0,0.09085072576999664,0.714023768901825,1.5433799028396606,8,80.92314910888672,13.8558,False
NNHSCAD5994_4,FP,0.5204,0.1244,0.8756,0.1547497659921646,0.9517416954040527,2.4339566230773926,2,19.311742782592773,1.951,False
NHSCAD50_8,FP,0.5825,0.5677,0.4323,0.1623205989599228,0.9654377698898315,2.501283884048462,0,0.0,-0.2725,True
NHSCAD51_1,FP,0.5825,0.4815,0.5185,0.1948375105857849,1.070312261581421,2.576728582382202,1,2.860118865966797,0.074,False
HSCAD516,FN,0.0,0.0002,0.9998,0.11195632070302963,0.7914435267448425,1.856113314628601,5,67.98406982421875,8.6481,False
