benchmark,layer,class,shape
iccad1,input_layout,InputLayer,()
iccad1,conv_early_1,Conv2D,"(224, 224, 16)"
iccad1,conv_early_2,Conv2D,"(224, 224, 16)"
iccad1,bn_early,BatchNormalization,"(224, 224, 16)"
iccad1,act_early,Activation,"(224, 224, 16)"
iccad1,pool_early,MaxPooling2D,"(112, 112, 16)"
iccad1,conv_mid_1,Conv2D,"(112, 112, 24)"
iccad1,conv_mid_2,Conv2D,"(112, 112, 24)"
iccad1,bn_mid,BatchNormalization,"(112, 112, 24)"
iccad1,act_mid,Activation,"(112, 112, 24)"
iccad1,pool_mid,MaxPooling2D,"(56, 56, 24)"
iccad1,pool_final_pre,MaxPooling2D,"(28, 28, 24)"
iccad1,conv_final_1,Conv2D,"(28, 28, 32)"
iccad1,conv_final_2,Conv2D,"(28, 28, 32)"
iccad1,bn_final,BatchNormalization,"(28, 28, 32)"
iccad1,act_final,Activation,"(28, 28, 32)"
iccad1,pool_classifier,MaxPooling2D,"(14, 14, 32)"
iccad1,flatten,Flatten,"(6272,)"
iccad1,dropout,Dropout,"(6272,)"
iccad1,dense_penultimate,Dense,"(16,)"
iccad1,dense_output,Dense,"(1,)"
iccad2,input_layout,InputLayer,()
iccad2,conv_early_1,Conv2D,"(224, 224, 16)"
iccad2,conv_early_2,Conv2D,"(224, 224, 16)"
iccad2,bn_early,BatchNormalization,"(224, 224, 16)"
iccad2,act_early,Activation,"(224, 224, 16)"
iccad2,pool_early,MaxPooling2D,"(112, 112, 16)"
iccad2,conv_mid_1,Conv2D,"(112, 112, 24)"
iccad2,conv_mid_2,Conv2D,"(112, 112, 24)"
iccad2,bn_mid,BatchNormalization,"(112, 112, 24)"
iccad2,act_mid,Activation,"(112, 112, 24)"
iccad2,pool_mid,MaxPooling2D,"(56, 56, 24)"
iccad2,pool_final_pre,MaxPooling2D,"(28, 28, 24)"
iccad2,conv_final_1,Conv2D,"(28, 28, 32)"
iccad2,conv_final_2,Conv2D,"(28, 28, 32)"
iccad2,bn_final,BatchNormalization,"(28, 28, 32)"
iccad2,act_final,Activation,"(28, 28, 32)"
iccad2,pool_classifier,MaxPooling2D,"(14, 14, 32)"
iccad2,flatten,Flatten,"(6272,)"
iccad2,dropout,Dropout,"(6272,)"
iccad2,dense_penultimate,Dense,"(16,)"
iccad2,dense_output,Dense,"(1,)"
iccad3,input_layout,InputLayer,()
iccad3,conv_early_1,Conv2D,"(224, 224, 16)"
iccad3,conv_early_2,Conv2D,"(224, 224, 16)"
iccad3,bn_early,BatchNormalization,"(224, 224, 16)"
iccad3,act_early,Activation,"(224, 224, 16)"
iccad3,pool_early,MaxPooling2D,"(112, 112, 16)"
iccad3,conv_mid_1,Conv2D,"(112, 112, 24)"
iccad3,conv_mid_2,Conv2D,"(112, 112, 24)"
iccad3,bn_mid,BatchNormalization,"(112, 112, 24)"
iccad3,act_mid,Activation,"(112, 112, 24)"
iccad3,pool_mid,MaxPooling2D,"(56, 56, 24)"
iccad3,pool_final_pre,MaxPooling2D,"(28, 28, 24)"
iccad3,conv_final_1,Conv2D,"(28, 28, 32)"
iccad3,conv_final_2,Conv2D,"(28, 28, 32)"
iccad3,bn_final,BatchNormalization,"(28, 28, 32)"
iccad3,act_final,Activation,"(28, 28, 32)"
iccad3,pool_classifier,MaxPooling2D,"(14, 14, 32)"
iccad3,flatten,Flatten,"(6272,)"
iccad3,dropout,Dropout,"(6272,)"
iccad3,dense_penultimate,Dense,"(16,)"
iccad3,dense_output,Dense,"(1,)"
iccad4,input_layout,InputLayer,()
iccad4,conv_early_1,Conv2D,"(224, 224, 16)"
iccad4,conv_early_2,Conv2D,"(224, 224, 16)"
iccad4,bn_early,BatchNormalization,"(224, 224, 16)"
iccad4,act_early,Activation,"(224, 224, 16)"
iccad4,pool_early,MaxPooling2D,"(112, 112, 16)"
iccad4,conv_mid_1,Conv2D,"(112, 112, 24)"
iccad4,conv_mid_2,Conv2D,"(112, 112, 24)"
iccad4,bn_mid,BatchNormalization,"(112, 112, 24)"
iccad4,act_mid,Activation,"(112, 112, 24)"
iccad4,pool_mid,MaxPooling2D,"(56, 56, 24)"
iccad4,pool_final_pre,MaxPooling2D,"(28, 28, 24)"
iccad4,conv_final_1,Conv2D,"(28, 28, 32)"
iccad4,conv_final_2,Conv2D,"(28, 28, 32)"
iccad4,bn_final,BatchNormalization,"(28, 28, 32)"
iccad4,act_final,Activation,"(28, 28, 32)"
iccad4,pool_classifier,MaxPooling2D,"(14, 14, 32)"
iccad4,flatten,Flatten,"(6272,)"
iccad4,dropout,Dropout,"(6272,)"
iccad4,dense_penultimate,Dense,"(16,)"
iccad4,dense_output,Dense,"(1,)"
iccad5,input_layout,InputLayer,()
iccad5,conv_early_1,Conv2D,"(224, 224, 16)"
iccad5,conv_early_2,Conv2D,"(224, 224, 16)"
iccad5,bn_early,BatchNormalization,"(224, 224, 16)"
iccad5,act_early,Activation,"(224, 224, 16)"
iccad5,pool_early,MaxPooling2D,"(112, 112, 16)"
iccad5,conv_mid_1,Conv2D,"(112, 112, 24)"
iccad5,conv_mid_2,Conv2D,"(112, 112, 24)"
iccad5,bn_mid,BatchNormalization,"(112, 112, 24)"
iccad5,act_mid,Activation,"(112, 112, 24)"
iccad5,pool_mid,MaxPooling2D,"(56, 56, 24)"
iccad5,pool_final_pre,MaxPooling2D,"(28, 28, 24)"
iccad5,conv_final_1,Conv2D,"(28, 28, 32)"
iccad5,conv_final_2,Conv2D,"(28, 28, 32)"
iccad5,bn_final,BatchNormalization,"(28, 28, 32)"
iccad5,act_final,Activation,"(28, 28, 32)"
iccad5,pool_classifier,MaxPooling2D,"(14, 14, 32)"
iccad5,flatten,Flatten,"(6272,)"
iccad5,dropout,Dropout,"(6272,)"
iccad5,dense_penultimate,Dense,"(16,)"
iccad5,dense_output,Dense,"(1,)"
