condition,unit,HS_mean,NHS_mean,HS_median,NHS_median,HS_active_pct,NHS_active_pct,HS_frac_exactly_zero,NHS_frac_exactly_zero,cohens_d,auc_HS_vs_NHS,mannwhitney_p,globally_dead
baseline_noweight,0,91.9845,23.9394,95.0999,22.0169,100.0,99.92,0.0,0.0008,4.8295,0.9816,1.3668285594639956e-26,False
baseline_noweight,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
baseline_noweight,2,0.9316,18.2109,0.0,18.4997,17.07,99.85,0.8293,0.0015,-4.2493,0.0177,1.1732400767625895e-26,False
baseline_noweight,3,0.0565,0.8458,0.0,0.2331,2.44,53.75,0.9756,0.4625,-0.7141,0.2466,3.2681617287694337e-09,False
baseline_noweight,4,0.3987,9.5178,0.0,8.8174,4.88,98.97,0.9512,0.0103,-2.263,0.0262,8.707359177669502e-26,False
baseline_noweight,5,0.0,0.0882,0.0,0.0,0.0,5.84,1.0,0.9416,-0.2261,0.4708,0.11095761623092347,False
baseline_noweight,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
baseline_noweight,7,0.1162,3.8753,0.0,1.4818,7.32,57.97,0.9268,0.4203,-0.7664,0.2318,6.446441499031023e-10,False
baseline_noweight,8,0.0,1.1179,0.0,0.0494,0.0,50.58,1.0,0.4942,-0.7818,0.2471,2.2481879636212237e-09,False
baseline_noweight,9,0.3864,12.798,0.0,13.5485,2.44,99.07,0.9756,0.0093,-3.8677,0.0263,8.908433163856934e-26,False
baseline_noweight,10,0.0,0.3427,0.0,0.0,0.0,27.26,1.0,0.7274,-0.481,0.3637,0.00011607911864723151,False
baseline_noweight,11,1.0383,14.8489,0.0,15.3214,34.15,99.81,0.6585,0.0019,-3.33,0.0219,3.17600251603451e-26,False
baseline_noweight,12,0.0,0.5261,0.0,0.0,0.0,32.26,1.0,0.6774,-0.5517,0.3387,1.6455616225491717e-05,False
baseline_noweight,13,0.0,0.2315,0.0,0.0,0.0,19.0,1.0,0.81,-0.3861,0.405,0.002082648886370656,False
baseline_noweight,14,0.1948,8.6323,0.0,9.38,2.44,96.48,0.9756,0.0352,-2.3867,0.026,8.315695420752178e-26,False
baseline_noweight,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
class_weighted,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
class_weighted,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
class_weighted,2,0.0173,1.1493,0.0,0.0,2.44,43.47,0.9756,0.5653,-0.6591,0.2909,3.0314407667121216e-07,False
class_weighted,3,0.0,1.1678,0.0,0.0,0.0,31.09,1.0,0.6891,-0.4808,0.3445,2.6358148522029782e-05,False
class_weighted,4,0.0,1.6406,0.0,0.9015,0.0,60.46,1.0,0.3954,-0.899,0.1977,4.561451607523252e-12,False
class_weighted,5,0.0,0.0056,0.0,0.0,0.0,0.66,1.0,0.9934,-0.0785,0.4967,0.6026132867616625,False
class_weighted,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
class_weighted,7,0.2439,6.221,0.0,4.0896,2.44,66.74,0.9756,0.3326,-0.8352,0.1812,6.002230793507884e-13,False
class_weighted,8,0.7952,21.6574,0.0,22.0797,14.63,98.36,0.8537,0.0164,-2.666,0.0252,6.859764167533257e-26,False
class_weighted,9,0.4228,9.279,0.0,9.2183,2.44,81.76,0.9756,0.1824,-1.2423,0.1098,4.211428231942107e-18,False
class_weighted,10,0.0,0.8182,0.0,0.0,0.0,23.37,1.0,0.7663,-0.4157,0.3831,0.0004748973184167088,False
class_weighted,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
class_weighted,12,0.4691,14.1944,0.0,14.4965,2.44,94.45,0.9756,0.0555,-1.7613,0.0461,8.368503448915103e-24,False
class_weighted,13,0.0,0.3006,0.0,0.0,0.0,10.51,1.0,0.8949,-0.3026,0.4475,0.028525426521220594,False
class_weighted,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
class_weighted,15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
balanced_sampling,0,14.8837,2.5224,15.5462,2.1405,100.0,74.85,0.0,0.2515,4.9988,0.9842,2.984622469542902e-27,False
balanced_sampling,1,17.4143,2.9636,18.4165,2.5451,100.0,74.23,0.0,0.2577,5.0949,0.9824,4.2867914194925504e-27,False
balanced_sampling,2,2.5961,7.9674,2.3136,8.1068,95.12,99.99,0.0488,0.0001,-2.7644,0.036,8.466867613029749e-25,False
balanced_sampling,3,3.7642,13.0464,3.2732,13.3216,97.56,99.97,0.0244,0.0003,-3.7054,0.0255,7.333714725651026e-26,False
balanced_sampling,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
balanced_sampling,5,0.0,0.657,0.0,0.0,0.0,43.28,1.0,0.5672,-0.6326,0.2836,1.1169546192680061e-07,False
balanced_sampling,6,14.8856,1.4644,15.2032,0.4166,100.0,55.56,0.0,0.4444,6.3865,0.9872,1.3490675827240955e-29,False
balanced_sampling,7,3.289,10.8523,2.8178,10.9189,97.56,99.98,0.0244,0.0002,-3.3471,0.0208,2.4200777674699257e-26,False
balanced_sampling,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
balanced_sampling,9,0.1334,3.301,0.0,3.1976,4.88,91.71,0.9512,0.0829,-1.5242,0.06,1.8038481681354795e-22,False
balanced_sampling,10,0.0,0.0031,0.0,0.0,0.0,1.22,1.0,0.9878,-0.0944,0.4939,0.47753263684197966,False
balanced_sampling,11,0.0,0.1399,0.0,0.0,0.0,9.28,1.0,0.9072,-0.3009,0.4536,0.04088228380069079,False
balanced_sampling,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True
balanced_sampling,13,0.5452,4.9721,0.0,5.0411,39.02,99.84,0.6098,0.0016,-3.5531,0.0254,7.174442254476073e-26,False
balanced_sampling,14,2.8082,7.3139,2.9671,7.1791,97.56,99.99,0.0244,0.0001,-2.3698,0.0378,1.2741628291684097e-24,False
balanced_sampling,15,17.5453,2.0022,17.6009,1.2533,97.56,63.8,0.0244,0.362,6.3704,0.9792,1.4891071847474648e-27,False
