condition,grouping,group,n,zero_vector_count,zero_vector_pct
baseline_noweight,true_label,HS,41,0,0.0
baseline_noweight,true_label,NHS,19327,0,0.0
baseline_noweight,case_type,FN,2,0,0.0
baseline_noweight,case_type,FP,60,0,0.0
baseline_noweight,case_type,TN,19267,0,0.0
baseline_noweight,case_type,TP,39,0,0.0
baseline_noweight,overall,ALL,19368,0,0.0
class_weighted,true_label,HS,41,35,85.366
class_weighted,true_label,NHS,19327,312,1.614
class_weighted,case_type,FN,2,0,0.0
class_weighted,case_type,FP,413,312,75.545
class_weighted,case_type,TN,18914,0,0.0
class_weighted,case_type,TP,39,35,89.744
class_weighted,overall,ALL,19368,347,1.792
balanced_sampling,true_label,HS,41,0,0.0
balanced_sampling,true_label,NHS,19327,0,0.0
balanced_sampling,case_type,FN,4,0,0.0
balanced_sampling,case_type,FP,42,0,0.0
balanced_sampling,case_type,TN,19285,0,0.0
balanced_sampling,case_type,TP,37,0,0.0
balanced_sampling,overall,ALL,19368,0,0.0
