run_name,noise_type,noise_idx,p_nhs,logit_nhs,penult_norm,penult_n_active,is_zero_vector
balanced_sampling_seed1,uniform,0,0.0005618985160253942,-7.4836,13.942,9,False
balanced_sampling_seed1,uniform,1,0.0006366995512507856,-7.3586,13.7146,9,False
balanced_sampling_seed1,uniform,2,0.0013112168526276946,-6.6355,13.5913,8,False
balanced_sampling_seed1,uniform,3,0.00029565393924713135,-8.126,14.5167,9,False
balanced_sampling_seed1,uniform,4,0.0001550166489323601,-8.7718,15.3725,7,False
balanced_sampling_seed1,uniform,5,0.0006311282049864531,-7.3674,14.9583,9,False
balanced_sampling_seed1,uniform,6,0.000593019591178745,-7.4297,13.7632,9,False
balanced_sampling_seed1,uniform,7,0.00024022885190788656,-8.3337,14.9773,9,False
balanced_sampling_seed1,uniform,8,0.0006578266620635986,-7.3259,13.7879,9,False
balanced_sampling_seed1,uniform,9,0.000855956575833261,-7.0624,13.7497,9,False
balanced_sampling_seed1,uniform,10,0.0006380122504197061,-7.3565,14.8048,9,False
balanced_sampling_seed1,uniform,11,0.00036496963002718985,-7.9153,14.102,9,False
balanced_sampling_seed1,uniform,12,0.0002805536787491292,-8.1785,14.4653,8,False
balanced_sampling_seed1,uniform,13,0.000309130729874596,-8.0814,14.7998,8,False
balanced_sampling_seed1,uniform,14,0.0002848357835318893,-8.1633,14.5273,8,False
balanced_sampling_seed1,uniform,15,0.0005563104641623795,-7.4936,14.3711,9,False
balanced_sampling_seed1,uniform,16,0.00044168593012727797,-7.7245,14.6073,9,False
balanced_sampling_seed1,uniform,17,0.0007605702267028391,-7.1807,13.8179,8,False
balanced_sampling_seed1,uniform,18,0.00019664391584228724,-8.5339,15.3353,9,False
balanced_sampling_seed1,uniform,19,0.000604240398388356,-7.4109,13.7595,8,False
balanced_sampling_seed1,uniform,20,0.001325277960859239,-6.6248,13.9069,9,False
balanced_sampling_seed1,uniform,21,0.00031297520035877824,-8.0691,13.9661,8,False
balanced_sampling_seed1,uniform,22,0.0003172851575072855,-8.0554,14.4589,9,False
balanced_sampling_seed1,uniform,23,0.0007516960031352937,-7.1924,13.9427,9,False
balanced_sampling_seed1,uniform,24,0.0006167672690935433,-7.3904,13.5454,8,False
balanced_sampling_seed1,uniform,25,0.0024293812457472086,-6.0177,13.6011,9,False
balanced_sampling_seed1,uniform,26,0.00031479427707381546,-8.0633,14.6845,9,False
balanced_sampling_seed1,uniform,27,0.0011543636210262775,-6.7631,13.3118,9,False
balanced_sampling_seed1,uniform,28,0.0009406139724887908,-6.968,13.6835,9,False
balanced_sampling_seed1,uniform,29,0.00046932039549574256,-7.6638,15.398,9,False
balanced_sampling_seed1,binary_p0.3,0,1.3483401062330813e-06,-13.5166,27.1216,9,False
balanced_sampling_seed1,binary_p0.3,1,1.3919556067776284e-06,-13.4848,26.3548,9,False
balanced_sampling_seed1,binary_p0.3,2,1.348059441852456e-07,-15.8194,27.5849,9,False
balanced_sampling_seed1,binary_p0.3,3,1.4075619674258633e-06,-13.4736,24.4714,8,False
balanced_sampling_seed1,binary_p0.3,4,1.2518222547441837e-06,-13.5909,26.7269,9,False
balanced_sampling_seed1,binary_p0.3,5,6.914633559063077e-07,-14.1845,26.9499,9,False
balanced_sampling_seed1,binary_p0.3,6,1.7514195178591763e-06,-13.2551,26.5898,9,False
balanced_sampling_seed1,binary_p0.3,7,7.722185273451032e-07,-14.074,26.6535,9,False
balanced_sampling_seed1,binary_p0.3,8,4.233215804561041e-06,-12.3725,25.3961,10,False
balanced_sampling_seed1,binary_p0.3,9,7.413001412714948e-07,-14.1149,27.5109,10,False
balanced_sampling_seed1,binary_p0.3,10,1.4115880730969366e-06,-13.4708,25.8739,10,False
balanced_sampling_seed1,binary_p0.3,11,1.2612841828740784e-06,-13.5834,27.0138,9,False
balanced_sampling_seed1,binary_p0.3,12,2.4684970867383527e-06,-12.9119,26.1789,9,False
balanced_sampling_seed1,binary_p0.3,13,3.7882139167777495e-06,-12.4836,24.5511,8,False
balanced_sampling_seed1,binary_p0.3,14,3.297404191471287e-06,-12.6224,26.1122,9,False
balanced_sampling_seed1,binary_p0.3,15,5.331912689143792e-06,-12.1418,24.9747,9,False
balanced_sampling_seed1,binary_p0.3,16,2.547076519476832e-06,-12.8806,26.0918,10,False
balanced_sampling_seed1,binary_p0.3,17,2.2926481051399605e-06,-12.9858,26.7733,9,False
balanced_sampling_seed1,binary_p0.3,18,5.954287871645647e-07,-14.334,27.6047,9,False
balanced_sampling_seed1,binary_p0.3,19,1.7213895944223623e-06,-13.2724,24.6729,10,False
balanced_sampling_seed1,binary_p0.3,20,5.00746239140426e-07,-14.5072,25.8911,10,False
balanced_sampling_seed1,binary_p0.3,21,2.939881369456998e-07,-15.0397,26.6831,9,False
balanced_sampling_seed1,binary_p0.3,22,9.419052560133423e-08,-16.1779,28.0598,8,False
balanced_sampling_seed1,binary_p0.3,23,6.395949299076165e-07,-14.2624,26.5728,10,False
balanced_sampling_seed1,binary_p0.3,24,5.217704028837034e-07,-14.466,26.9692,10,False
balanced_sampling_seed1,binary_p0.3,25,1.1680759826049325e-06,-13.6602,25.7896,9,False
balanced_sampling_seed1,binary_p0.3,26,1.7469856175011955e-06,-13.2576,26.1525,9,False
balanced_sampling_seed1,binary_p0.3,27,4.020217602374032e-06,-12.4242,24.6909,9,False
balanced_sampling_seed1,binary_p0.3,28,2.1447131075547077e-06,-13.0525,25.8618,9,False
balanced_sampling_seed1,binary_p0.3,29,1.1639571084742784e-06,-13.6637,26.5356,10,False
balanced_sampling_seed2,uniform,0,0.9999845623970032,11.0797,35.0491,3,False
balanced_sampling_seed2,uniform,1,0.9999829530715942,10.9806,34.5846,3,False
balanced_sampling_seed2,uniform,2,0.999984085559845,11.0497,34.7604,3,False
balanced_sampling_seed2,uniform,3,0.9999849796295166,11.1079,34.9833,3,False
balanced_sampling_seed2,uniform,4,0.999982476234436,10.9521,34.7531,3,False
balanced_sampling_seed2,uniform,5,0.9999847412109375,11.0918,35.0198,3,False
balanced_sampling_seed2,uniform,6,0.9999862909317017,11.1967,35.2321,3,False
