run_name,unit,HS_mean,NHS_mean,HS_median,NHS_median,HS_active_pct,NHS_active_pct,HS_frac_exactly_zero,NHS_frac_exactly_zero,cohens_d,auc_HS_vs_NHS,mannwhitney_p,globally_dead,is_HS_elevated,is_NHS_elevated
balanced_sampling_seed1,0,8.2783,0.1098,8.5684,0.0,97.56,6.15,0.0244,0.9385,13.1701,0.9861,1.8967240678404097e-143,False,True,False
balanced_sampling_seed1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed1,2,0.0,0.2026,0.0,0.0,0.0,24.69,1.0,0.7531,-0.4399,0.3765,0.0002982026299031829,False,False,False
balanced_sampling_seed1,3,0.1004,2.0194,0.0,1.5221,2.44,70.85,0.9756,0.2915,-0.9213,0.1623,3.4995175046166974e-14,False,False,False
balanced_sampling_seed1,4,1.2651,6.3041,0.6428,6.3773,87.8,99.27,0.122,0.0073,-2.4853,0.0367,1.009759199467883e-24,False,False,True
balanced_sampling_seed1,5,2.8141,9.6521,2.7736,9.8373,100.0,99.99,0.0,0.0001,-3.4913,0.017,9.852272936985102e-27,False,False,True
balanced_sampling_seed1,6,8.2986,0.2868,8.5217,0.0,97.56,21.34,0.0244,0.7866,9.6006,0.9844,1.875269413811696e-50,False,True,False
balanced_sampling_seed1,7,0.3857,0.0013,0.0,0.0,26.83,0.25,0.7317,0.9975,6.7676,0.633,5.42569585460549e-206,False,False,False
balanced_sampling_seed1,8,9.008,0.1243,9.412,0.0,97.56,6.21,0.0244,0.9379,12.0016,0.9857,6.661074354632624e-142,False,True,False
balanced_sampling_seed1,9,4.3013,12.0534,4.1595,12.1697,97.56,100.0,0.0244,0.0,-3.2048,0.0267,9.861299127153102e-26,False,False,True
balanced_sampling_seed1,10,3.6484,9.6229,3.5617,9.7733,97.56,99.99,0.0244,0.0001,-2.8367,0.0315,2.9993546612334134e-25,False,False,True
balanced_sampling_seed1,11,5.9207,0.042,6.2055,0.0,97.56,2.97,0.0244,0.9703,16.5081,0.9863,4.3206350453141496e-276,False,True,False
balanced_sampling_seed1,12,2.18,6.4933,2.1668,6.469,85.37,99.98,0.1463,0.0002,-2.3748,0.048,1.2926432562707948e-23,False,False,True
balanced_sampling_seed1,13,6.7849,0.1226,6.8435,0.0,97.56,8.84,0.0244,0.9116,11.4405,0.9855,6.999281492648038e-104,False,True,False
balanced_sampling_seed1,14,0.0242,0.7103,0.0,0.1289,2.44,52.09,0.9756,0.4791,-0.7613,0.2501,4.296615706121938e-09,False,False,False
balanced_sampling_seed1,15,0.0,0.2364,0.0,0.0,0.0,17.64,1.0,0.8236,-0.3753,0.4118,0.0032330101039019796,False,False,False
balanced_sampling_seed2,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed2,3,7.0472,0.0697,7.2759,0.0,95.12,3.13,0.0488,0.9687,12.5415,0.9734,5.055755909927127e-250,False,True,False
balanced_sampling_seed2,4,8.4918,0.0683,8.8454,0.0,95.12,2.67,0.0488,0.9733,13.9649,0.9737,8.453835341254167e-289,False,True,False
balanced_sampling_seed2,5,0.0,0.4689,0.0,0.0,0.0,27.27,1.0,0.7273,-0.4468,0.3636,0.00011563026660947965,False,False,False
balanced_sampling_seed2,6,0.7565,16.9364,0.0,17.2239,19.51,99.03,0.8049,0.0097,-3.5265,0.0215,2.893772664688981e-26,False,False,True
balanced_sampling_seed2,7,4.3003,19.8809,3.5589,19.8291,95.12,99.96,0.0488,0.0004,-3.2082,0.0135,4.277653548456447e-27,False,False,True
balanced_sampling_seed2,8,2.8057,18.7863,2.2498,18.7402,85.37,99.92,0.1463,0.0008,-3.9136,0.0126,3.449664183650463e-27,False,False,True
balanced_sampling_seed2,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed2,10,9.403,0.0617,10.0205,0.0,97.56,2.24,0.0244,0.9776,15.2155,0.9859,0.0,False,True,False
balanced_sampling_seed2,11,0.4698,16.1086,0.0,16.105,4.88,96.33,0.9512,0.0367,-2.1923,0.034,5.359945843608676e-25,False,False,True
balanced_sampling_seed2,12,11.434,0.0824,11.927,0.0,97.56,2.28,0.0244,0.9772,14.4287,0.986,0.0,False,True,False
balanced_sampling_seed2,13,0.2931,0.0005,0.0,0.0,29.27,0.05,0.7073,0.9995,7.7882,0.6461,0.0,False,False,False
balanced_sampling_seed2,14,0.8084,0.0023,0.0,0.0,43.9,0.13,0.561,0.9987,8.2618,0.7189,0.0,False,False,False
balanced_sampling_seed2,15,1.2352,12.1791,0.0,12.2519,39.02,99.54,0.6098,0.0046,-2.1594,0.0285,1.5105715885520949e-25,False,False,True
balanced_sampling_seed3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed3,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.5,1.0,True,False,False
balanced_sampling_seed3,2,0.0,0.019,0.0,0.0,0.0,4.13,1.0,0.9587,-0.2015,0.4794,0.18401686215336488,False,False,False
balanced_sampling_seed3,3,1.3867,8.1891,0.9763,8.4223,78.05,99.3,0.2195,0.007,-2.8638,0.0228,3.952317213939652e-26,False,False,True
balanced_sampling_seed3,4,4.7164,0.0863,4.6866,0.0,97.56,8.3,0.0244,0.917,10.5006,0.9832,1.2666827042422347e-108,False,True,False
balanced_sampling_seed3,5,8.732,13.4443,9.4074,13.8174,100.0,99.99,0.0,0.0001,-1.1496,0.1856,3.254577449421522e-12,False,False,False
balanced_sampling_seed3,6,7.0705,0.158,6.9966,0.0,97.56,11.64,0.0244,0.8836,10.6739,0.9847,8.872682972747846e-82,False,True,False
