benchmark,sample_id,case_type,actual_label,predicted_label,is_correct,p_hs,p_nhs,sample_dir,occlusion_sample_dir,window_size,stride,baseline_value,num_windows,runtime_sec,orig_target_score,max_occlusion_importance,min_occlusion_importance,mean_positive_importance,peak_attribution_x,peak_attribution_y,centroid_x,centroid_y,spatial_spread_radius,fraction_above_025,fraction_above_050,fraction_above_075,connected_regions_count,largest_region_area_px,edge_border_concentration,corr_gcam_pearson,corr_gcam_spearman,corr_gcam_cosine,corr_gcam_iou_50,corr_gcam_pp_pearson,corr_gcam_pp_spearman,corr_gcam_pp_cosine,corr_gcam_pp_iou_50,corr_layercam_pearson,corr_layercam_spearman,corr_layercam_cosine,corr_layercam_iou_50
iccad1,HS32,TP,HS,HS,True,0.7716,0.2284,results/xai/iccad1/iccad1_TP_HS_predHS_HS32,results/xai/occlusion/iccad1/iccad1_TP_HS_predHS_HS32,32,16,0.0,169,8.392,1.2171,0.1758,-0.06,0.0354,96,96,93.91,131.18,84.83,0.1939,0.0357,0.0153,3,1280,0.3034,0.1247,0.092,0.5306,0.0591,-0.0528,-0.109,0.4585,0.0424,0.3023,0.2021,0.5965,0.0925
iccad1,HS123,TP,HS,HS,True,0.778,0.222,results/xai/iccad1/iccad1_TP_HS_predHS_HS123,results/xai/occlusion/iccad1/iccad1_TP_HS_predHS_HS123,32,16,0.0,169,0.32,1.254,0.1836,-0.0199,0.0294,96,96,111.02,102.8,82.32,0.1327,0.0255,0.0102,1,1280,0.2188,0.1892,0.2722,0.5866,0.0395,0.0882,0.1193,0.5757,0.0421,0.3928,0.3368,0.6723,0.12
iccad1,HS27,TP,HS,HS,True,0.7775,0.2225,results/xai/iccad1/iccad1_TP_HS_predHS_HS27,results/xai/occlusion/iccad1/iccad1_TP_HS_predHS_HS27,32,16,0.0,169,0.244,1.2512,0.1106,-0.0332,0.019,96,96,111.01,123.22,85.8,0.1939,0.0306,0.0204,1,1536,0.2939,0.1867,0.152,0.5891,0.0514,0.0962,0.0664,0.548,0.0484,0.3308,0.2641,0.6276,0.1235
iccad1,NNHS310_1,TN,NHS,NHS,True,0.042,0.958,results/xai/iccad1/iccad1_TN_NHS_predNHS_NNHS310_1,results/xai/occlusion/iccad1/iccad1_TN_NHS_predNHS_NNHS310_1,32,16,0.0,169,0.359,3.1283,0.2136,-0.026,0.0691,32,64,99.61,100.59,82.36,0.4337,0.1582,0.0612,3,5888,0.1866,-0.3086,-0.3766,0.1947,0.0,-0.155,-0.0276,0.5364,0.0141,0.3232,0.3959,0.6684,0.0379
iccad1,NNHS304_1,TN,NHS,NHS,True,0.0439,0.9561,results/xai/iccad1/iccad1_TN_NHS_predNHS_NNHS304_1,results/xai/occlusion/iccad1/iccad1_TN_NHS_predNHS_NNHS304_1,32,16,0.0,169,0.271,3.0816,0.2322,-0.0429,0.0801,176,128,112.68,117.04,80.35,0.4949,0.1939,0.0561,5,2816,0.1754,-0.4439,-0.5189,0.1752,0.0,-0.1236,-0.0596,0.593,0.0512,0.3437,0.3631,0.6955,0.0515
iccad1,NHS453,TN,NHS,NHS,True,0.0499,0.9501,results/xai/iccad1/iccad1_TN_NHS_predNHS_NHS453,results/xai/occlusion/iccad1/iccad1_TN_NHS_predNHS_NHS453,32,16,0.0,169,0.26,2.9475,0.321,-0.0486,0.0862,176,128,119.21,125.5,80.29,0.3929,0.0918,0.0102,4,2304,0.2019,-0.1506,-0.3188,0.1267,0.0,-0.253,-0.3123,0.3193,0.0021,0.277,0.2203,0.6911,0.0571
iccad1,NHS120_9,FP,NHS,HS,False,0.7793,0.2207,results/xai/iccad1/iccad1_FP_NHS_predHS_NHS120_9,results/xai/occlusion/iccad1/iccad1_FP_NHS_predHS_NHS120_9,32,16,0.0,169,0.281,1.2619,0.1211,-0.025,0.0331,96,112,118.19,96.46,83.28,0.301,0.102,0.0204,4,1792,0.2312,0.2242,0.2583,0.6208,0.1529,-0.0308,-0.0194,0.5221,0.0369,0.3454,0.2687,0.6511,0.0844
iccad1,NHS68_9,FP,NHS,HS,False,0.7694,0.2306,results/xai/iccad1/iccad1_FP_NHS_predHS_NHS68_9,results/xai/occlusion/iccad1/iccad1_FP_NHS_predHS_NHS68_9,32,16,0.0,169,0.289,1.205,0.0881,-0.0439,0.0218,48,160,103.79,115.72,85.67,0.3112,0.1122,0.0459,3,2816,0.2468,0.1607,0.0865,0.5671,0.139,0.0401,0.007,0.5406,0.0951,0.3052,0.2005,0.6239,0.0412
iccad1,NHS32_4,FP,NHS,HS,False,0.7514,0.2486,results/xai/iccad1/iccad1_FP_NHS_predHS_NHS32_4,results/xai/occlusion/iccad1/iccad1_FP_NHS_predHS_NHS32_4,32,16,0.0,169,0.29,1.1062,0.0943,-0.0627,0.0278,48,160,121.05,137.6,92.63,0.3061,0.1224,0.0255,5,2560,0.3786,0.0777,0.0869,0.5582,0.0662,-0.0986,-0.102,0.4823,0.0764,0.1813,0.2012,0.5651,0.0312
iccad1,HS193,FN,HS,NHS,False,0.448,0.552,results/xai/iccad1/iccad1_FN_HS_predNHS_HS193,results/xai/occlusion/iccad1/iccad1_FN_HS_predNHS_HS193,32,16,0.0,169,0.278,0.2088,0.1268,-0.147,0.0261,176,128,172.7,149.28,36.02,0.0612,0.0204,0.0051,1,1024,0.1623,-0.1833,-0.2899,0.0063,0.0,0.3296,0.2655,0.4038,0.0616,0.4246,0.2568,0.496,0.1576
