benchmark,sample_id,case_type,actual_label,predicted_label,is_correct,p_hs,p_nhs,sample_dir,gcam_peak_x,gcam_peak_y,gcam_centroid_x,gcam_centroid_y,gcam_spread,gcam_area_gt50,gcam_connected_count,gcam_edge_conc,gcam_pp_peak_x,gcam_pp_peak_y,gcam_pp_centroid_x,gcam_pp_centroid_y,gcam_pp_spread,gcam_pp_area_gt50,gcam_pp_connected_count,gcam_pp_edge_conc,layercam_peak_x,layercam_peak_y,layercam_centroid_x,layercam_centroid_y,layercam_spread,layercam_area_gt50,layercam_connected_count,layercam_edge_conc
iccad1,HS32,TP,HS,HS,True,0.7716,0.2284,results/xai/iccad1/iccad1_TP_HS_predHS_HS32,60,36,109.84,107.58,84.16,0.2068,7,0.2431,115,83,114.23,101.6,88.17,0.2668,9,0.3395,51,35,106.96,110.9,84.03,0.013,20,0.2542
iccad1,HS123,TP,HS,HS,True,0.778,0.222,results/xai/iccad1/iccad1_TP_HS_predHS_HS123,108,108,113.88,102.42,82.77,0.1905,9,0.2098,83,100,114.46,102.35,88.17,0.2238,14,0.3231,108,115,111.57,103.86,82.47,0.0115,21,0.2155
iccad1,HS27,TP,HS,HS,True,0.7775,0.2225,results/xai/iccad1/iccad1_TP_HS_predHS_HS27,115,107,109.73,116.04,87.01,0.2612,8,0.3012,211,180,111.85,105.17,88.35,0.2076,8,0.351,131,179,109.99,119.16,86.33,0.0174,31,0.2928
iccad1,NNHS310_1,TN,NHS,NHS,True,0.042,0.958,results/xai/iccad1/iccad1_TN_NHS_predNHS_NNHS310_1,0,147,111.26,105.46,100.31,0.0284,14,0.5407,99,155,110.49,110.82,88.16,0.1677,15,0.3009,68,156,97.03,113.32,87.07,0.0116,21,0.2656
iccad1,NNHS304_1,TN,NHS,NHS,True,0.0439,0.9561,results/xai/iccad1/iccad1_TN_NHS_predNHS_NNHS304_1,0,188,93.29,92.6,106.37,0.046,12,0.6974,211,179,117.52,110.77,87.65,0.166,9,0.3103,44,123,109.53,121.97,85.89,0.017,27,0.2595
iccad1,NHS453,TN,NHS,NHS,True,0.0499,0.9501,results/xai/iccad1/iccad1_TN_NHS_predNHS_NHS453,0,147,60.69,159.48,94.72,0.0037,5,0.991,211,67,121.56,81.19,93.68,0.1025,10,0.4887,67,156,110.31,110.4,88.68,0.014,24,0.2743
iccad1,NHS120_9,FP,NHS,HS,False,0.7793,0.2207,results/xai/iccad1/iccad1_FP_NHS_predHS_NHS120_9,36,148,115.86,105.52,82.35,0.1758,8,0.2098,211,148,116.87,103.24,91.17,0.0856,10,0.398,51,148,112.48,105.19,81.81,0.0189,26,0.2104
iccad1,NHS68_9,FP,NHS,HS,False,0.7694,0.2306,results/xai/iccad1/iccad1_FP_NHS_predHS_NHS68_9,84,36,113.5,101.69,82.0,0.1286,9,0.2159,211,92,114.92,102.45,87.67,0.1529,15,0.3115,107,115,112.48,104.0,81.78,0.0086,20,0.2152
iccad1,NHS32_4,FP,NHS,HS,False,0.7514,0.2486,results/xai/iccad1/iccad1_FP_NHS_predHS_NHS32_4,139,92,119.28,111.48,84.98,0.1857,9,0.2627,132,92,115.61,101.96,88.55,0.2128,15,0.345,51,36,116.87,113.99,85.36,0.025,46,0.2826
iccad1,HS193,FN,HS,NHS,False,0.448,0.552,results/xai/iccad1/iccad1_FN_HS_predNHS_HS193,99,131,62.93,104.57,76.59,0.0032,3,0.3838,203,156,127.85,110.37,85.34,0.191,3,0.2837,188,35,140.5,108.31,84.13,0.0341,26,0.2769
iccad1,HS144,FN,HS,NHS,False,0.4375,0.5625,results/xai/iccad1/iccad1_FN_HS_predNHS_HS144,99,116,66.18,102.42,75.88,0.0033,3,0.3044,131,156,127.38,114.36,86.13,0.1231,5,0.3139,163,131,139.37,114.36,86.73,0.005,12,0.3461
iccad2,HSCAD216,TP,HS,HS,True,0.9998,0.0002,results/xai/iccad2/iccad2_TP_HS_predHS_HSCAD216,164,171,114.38,103.54,85.08,0.312,14,0.2266,188,108,86.9,149.92,89.99,0.0261,4,0.5136,115,116,107.07,113.35,64.01,0.0111,7,0.1267
iccad2,HSCAD2146,TP,HS,HS,True,0.9997,0.0003,results/xai/iccad2/iccad2_TP_HS_predHS_HSCAD2146,187,35,114.61,104.11,83.49,0.2507,11,0.1959,20,131,92.66,150.2,87.36,0.0476,8,0.5905,124,116,109.15,110.84,63.63,0.0072,5,0.1277
iccad2,HSCAD2155,TP,HS,HS,True,0.9995,0.0005,results/xai/iccad2/iccad2_TP_HS_predHS_HSCAD2155,60,187,111.4,110.45,85.05,0.2738,14,0.2241,124,156,100.17,130.74,91.56,0.0217,7,0.4206,140,116,108.09,113.31,65.89,0.0181,9,0.1307
iccad2,NNHSCAD2999_4,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2999_4,99,52,121.18,156.68,85.98,0.1441,3,0.4557,91,171,112.8,121.34,89.62,0.0695,6,0.3194,67,19,114.55,104.42,91.85,0.004,9,0.3127
iccad2,NNHSCAD2993_1,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2993_1,36,124,110.23,130.43,89.16,0.5769,2,0.2775,20,76,111.24,108.77,82.57,0.0924,1,0.2543,163,99,111.13,106.89,90.29,0.0024,5,0.3102
iccad2,NNHSCAD2993_2,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad2/iccad2_TN_NHS_predNHS_NNHSCAD2993_2,36,124,110.23,130.43,89.16,0.5769,2,0.2775,20,76,111.24,108.77,82.57,0.0924,1,0.2543,163,99,111.13,106.89,90.29,0.0024,5,0.3102
iccad2,NNHSCAD23820_8,FP,NHS,HS,False,0.9998,0.0002,results/xai/iccad2/iccad2_FP_NHS_predHS_NNHSCAD23820_8,147,123,101.5,114.54,80.6,0.2683,4,0.2156,28,132,109.86,116.33,81.55,0.113,4,0.2977,123,115,107.14,114.68,61.6,0.0159,9,0.1197
iccad2,NNHSCAD22521_9,FP,NHS,HS,False,0.9999,0.0001,results/xai/iccad2/iccad2_FP_NHS_predHS_NNHSCAD22521_9,147,123,103.59,119.39,76.98,0.246,4,0.2122,35,132,105.52,114.62,77.94,0.2146,1,0.2469,140,115,107.74,115.35,59.89,0.0194,8,0.0968
iccad2,NNHSCAD24052_9,FP,NHS,HS,False,0.9997,0.0003,results/xai/iccad2/iccad2_FP_NHS_predHS_NNHSCAD24052_9,187,123,116.24,107.99,78.37,0.241,4,0.1675,84,132,111.13,119.23,83.34,0.1103,5,0.3292,115,115,109.12,112.8,59.09,0.0172,5,0.0985
iccad2,HSCAD2494,FN,HS,NHS,False,0.0,1.0,results/xai/iccad2/iccad2_FN_HS_predNHS_HSCAD2494,68,196,94.79,84.03,90.3,0.3486,1,0.358,187,196,112.78,119.33,87.31,0.0772,5,0.2567,44,99,118.07,121.14,90.14,0.0201,32,0.3041
iccad2,HSCAD2493,FN,HS,NHS,False,0.0,1.0,results/xai/iccad2/iccad2_FN_HS_predNHS_HSCAD2493,180,140,116.02,161.21,79.59,0.406,3,0.3296,107,43,107.34,99.36,82.92,0.0487,5,0.262,179,75,110.05,99.05,87.52,0.0075,5,0.2792
iccad2,HSCAD2358,FN,HS,NHS,False,0.0014,0.9986,results/xai/iccad2/iccad2_FN_HS_predNHS_HSCAD2358,44,76,110.3,141.61,98.05,0.1397,6,0.5705,179,83,115.04,117.29,95.06,0.1149,9,0.448,163,59,115.16,99.66,94.33,0.0228,29,0.3655
iccad3,HSCAD31047,TP,HS,HS,True,0.9912,0.0088,results/xai/iccad3/iccad3_TP_HS_predHS_HSCAD31047,179,131,113.91,116.32,83.5,0.3383,6,0.2517,115,28,106.63,112.04,58.72,0.0844,6,0.0397,99,99,113.2,108.82,65.94,0.0079,9,0.1306
iccad3,HSCAD31012,TP,HS,HS,True,0.9997,0.0003,results/xai/iccad3/iccad3_TP_HS_predHS_HSCAD31012,83,51,97.09,108.54,80.32,0.2978,3,0.2397,84,35,97.37,107.89,61.5,0.0817,8,0.0428,68,123,97.81,105.49,62.27,0.0097,7,0.1029
iccad3,HSCAD31060,TP,HS,HS,True,1.0,0.0,results/xai/iccad3/iccad3_TP_HS_predHS_HSCAD31060,83,52,106.99,113.62,83.84,0.4448,1,0.2575,0,0,112.0,112.0,0.0,0.0,0,0.0,100,115,105.97,110.62,68.0,0.0171,5,0.1322
iccad3,NHSCAD31_7,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad3/iccad3_TN_NHS_predNHS_NHSCAD31_7,0,0,112.0,112.0,0.0,0.0,0,0.0,0,0,112.0,112.0,0.0,0.0,0,0.0,179,131,128.56,127.05,85.13,0.0038,5,0.2183
iccad3,NNHSCAD35348_9,TN,NHS,NHS,True,0.0,1.0,results/xai/iccad3/iccad3_TN_NHS_predNHS_NNHSCAD35348_9,0,0,112.0,112.0,0.0,0.0,0,0.0,123,204,129.4,122.57,57.22,0.0015,1,0.1223,124,99,107.95,124.91,73.77,0.0026,6,0.2365
